"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Lexus IS 300h F-Sport / Luxury Llanta18p (MY19)","","5,6","6,4","128,0","145,0"
"Lexus IS 300h F-Sport/ Luxury (MY20)","","5,6","6,4","128,0","145,0"
"Lexus LC 500 5.0P Sport/ Luxury (MY21)","","11,6","11,6","262,0","262,0"
"Lexus LC 500 LC500 (MY19)","","11,6","11,6","262,0","262,0"
"Lexus LC 500h 3.5P Sport/ Luxury (MY21)","","8,1","8,1","184,0","184,0"
"Lexus LC 500h LC500h (MY19)","","8,1","8,1","184,0","184,0"
"Lexus LC CV 5.0P Luxury / Regata Edition (MY21)","","11,7","11,7","275,0","275,0"
"Lexus LS 500h AWD Llanta 19p (MY20)","","8,7","9,3","197,0","211,0"
"Lexus LS 500h AWD Llanta 20p (MY20)","","8,7","9,3","197,0","211,0"
"Lexus LS 500h Llanta 19p (MY19)","","8,7","9,3","197,0","211,0"
"Lexus LS 500h Llanta 20p (MY19)","","8,7","9,3","197,0","211,0"
"Lexus LS 500h RWD Llanta 20p (MY20)","","7,6","7,9","171,0","179,0"
"Lexus LS500h AWD Business/F sport/Executive/Luxury (MY21)","","9,3","9,6","210,7","218,0"
"Lexus LS500h RWD Business (MY21)","","7,8","8,3","176,6","186,6"
"Lexus LS500h RWD F sport+/Executive/Luxury (MY21)","","7,8","8,3","176,6","186,6"
"Lexus NX 300h 2WD Business Llanta 17p (MY19)","","6,7","7,4","151,0","169,0"
"Lexus NX 300h 2WD Business Llanta 17p (MY21)","","6,9","7,8","155,0","177,0"
"Lexus NX 300h 2WD Eco Llanta 17p (MY21)","","6,9","7,8","155,0","177,0"
"Lexus NX 300h 2WD Premium Llanta 18p (MY21)","","6,9","7,8","155,0","177,0"
"Lexus NX 300h 2WD, Business Llanta 17p (MY20)","","6,9","7,8","155,0","177,0"
"Lexus NX 300h 2WD, Eco Llanta 17p (MY19)","","6,7","7,4","151,0","169,0"
"Lexus NX 300h 2WD, Eco Llanta 17p (MY20)","","6,9","7,8","155,0","177,0"
"Lexus NX 300h 2WD, Sport Llanta 18p (MY20)","","6,9","7,8","155,0","177,0"
"Lexus NX 300h 4WD Llanta 18p (MY20)","","7,0","8,0","158,0","181,0"
"Lexus NX 300h 4WD Llanta 18p (MY21)","","7,0","8,0","158,0","181,0"
"Lexus NX 300h 4WD Sport Edition Llanta 18p (MY19)","","6,7","7,4","151,0","169,0"
"Lexus NX 300h 4WD, Executive - F Sport- Luxury Llanta 18p (MY19)","","7,1","7,9","160,0","180,0"
"Lexus RC 300h Llanta 18p (MY19)","","5,9","6,9","135,0","157,0"
"Lexus RC 300h Llanta 19p (MY19)","","5,9","6,9","135,0","157,0"
"Lexus RX 450h 5 plazas Llanta 18p (MY20)","","7,5","8,0","171,0","183,0"
"Lexus RX 450h 5 plazas Llanta 20p (MY20)","","7,5","8,0","171,0","183,0"
"Lexus RX 450h 7 plazas Llanta 18p (MY19)","","7,8","8,1","179,0","185,0"
"Lexus RX 450h 7 plazas Llanta 18p (MY20)","","7,8","8,1","179,0","185,0"
"Lexus RX 450h 7 plazas Llanta 20p (MY19)","","7,8","8,1","179,0","185,0"
"Lexus RX 450h 7 plazas Llanta 20p (MY20)","","7,8","8,1","179,0","185,0"
"Lexus RX 450h Business/Executive/F sport/Luxury 5 plazas (MY21)","","7,6","8,1","171,5","182,5"
"Lexus RX 450h Business/Executive/Luxury 7 plazas (MY21)","","7,9","8,3","178,6","188,4"
"Lexus RX 450h Llanta 18p (MY19)","","7,5","8,0","171,0","183,0"
"Lexus RX 450h Llanta 20p (MY19)","","7,5","8,0","171,0","183,0"
"Lexus UX 250h 4x2 Llanta 17p (MY20)","","5,3","5,6","120,0","128,0"
"Lexus UX 250h 4x2 Llanta 17p (NG19)","","5,3","5,6","120,0","128,0"
"Lexus UX 250h 4x2 Llanta 18p (MY20)","","5,3","5,6","120,0","128,0"
"Lexus UX 250h 4x2 Llanta 18p (NG19)","","5,3","5,6","120,0","128,0"
"Lexus UX 250h 4x4 Llanta 17p (MY20)","","5,8","6,1","131,0","137,0"
"Lexus UX 250h 4x4 Llanta 17p (NG19)","","5,8","6,1","131,0","137,0"
"Lexus UX 250h 4x4 Llanta 18p (MY20)","","5,8","6,1","131,0","137,0"
"Lexus UX 250h 4x4 Llanta 18p (NG19)","","5,8","6,1","131,0","137,0"
"Lexus UX250h 4x2 (MY21)","","5,3","5,6","120,0","128,0"
"Lexus UX250h 4x4 (MY21)","","5,8","6,1","131,0","137,0"
"Lexus UX300E Eco/Business/Executive/Luxury (MY21)","","0,0","0,0","0,0","0,0"
"LIGIER PROFESSIONAL PULSE 3 6X","","0,0","0,0","0,0","0,0"
"Lingzhida LZD-M4 LZD-M4/00/00","","0,0","0,0","0,0","0,0"
"LINZE ROAD","","0,0","0,0","0,0","0,0"
"LINZE TRIP","","0,0","0,0","0,0","0,0"
"LITTLE EBOX E BOX 2","","0,0","0,0","0,0","0,0"
"LMI YM2001DP Version25 lead-acid","","0,0","0,0","0,0","0,0"
"LMI YM2001DP Version45 lead-acid","","0,0","0,0","0,0","0,0"
"LMI YM2001DP Version45 lithium","","0,0","0,0","0,0","0,0"
"LVNENG LX06max, S6, Elegance 1","","0,0","0,0","0,0","0,0"
"MacEV V6 R3","","0,0","0,0","0,0","0,0"
"MAN eTGE 3.140 4x2F","","0,0","0,0","0,0","0,0"
"MAN eTGE 3.140 4x2F  SB","","0,0","0,0","0,0","0,0"
"MAN eTGE 3.140 4x2F 1.0","","0,0","0,0","0,0","0,0"
"MAN eTGE 3.140 4x2F SB","","0,0","0,0","0,0","0,0"
"MAN eTGE 3.140 4x2F SB 1.0","","0,0","0,0","0,0","0,0"
"MAN LIONS City 12E","","0,0","0,0","0,0","0,0"
"MAN LIONS City 18E","","0,0","0,0","0,0","0,0"
"MAN TGM 26.360 E 6X2-4 LL Eléctrico","","0,0","0,0","0,0","0,0"
"MARSHELL DG-LSV2","","0,0","0,0","0,0","0,0"
"MARSHELL DG-LSV4","","0,0","0,0","0,0","0,0"
"MARSHELL DU-G2","","0,0","0,0","0,0","0,0"
"Maserati GHIBLI (5AP) M156 7F2 5AP","","0,0","0,0","0,0","0,0"
"Maserati GHIBLI (5AP1) M156 7F2 5AP1","","10,5","11,3","238,0","257,0"
"Maserati GHIBLI DIESEL (5HADG) M156 7D2 5HADG","","0,0","0,0","0,0","0,0"
"Maserati GHIBLI DIESEL (5LADG) M156 7D2 5LADG","","0,0","0,0","0,0","0,0"
"Maserati GHIBLI HYBRID (5AP) M156 7L2 5AP","","8,1","9,4","183,0","213,0"
"Maserati GHIBLI HYBRID (5APD) M156 7L2 5APD","","8,1","9,4","183,0","213,0"
"Maserati GHIBLI MODENA (5AP1L) M156 7F2 5AP1L","","10,5","11,3","238,0","257,0"
"Maserati GHIBLI MODENA S (5AP1L) M156 7E2 5AP1L","","10,5","11,3","238,0","257,0"
"Maserati GHIBLI MODENA S Q4 (5AP1L) M156 7E4 5AP1L","","10,9","11,9","247,0","269,0"
"Maserati GHIBLI S (5AP) M156 7E2 5AP","","0,0","0,0","0,0","0,0"
"Maserati GHIBLI S (5AP1) M156 7E2 5AP1","","10,5","11,3","238,0","257,0"
"Maserati GHIBLI S Q4 (5AP) M156 7E4 5AP","","0,0","0,0","0,0","0,0"
"Maserati GHIBLI S Q4 (5AP1) M156 7E4 5AP1","","10,9","11,9","247,0","269,0"
"Maserati GHIBLI TROFEO (5HAP) M156 7H2 5HAP","","12,3","12,6","279,0","285,0"
"Maserati LEVANTE (5AP) M156 1F4 5AP","","0,0","0,0","0,0","0,0"
"Maserati LEVANTE (5AP1) M156 1F4 5AP1","","12,5","13,4","283,0","303,0"
"Maserati LEVANTE (5APD) M156 1F4 5APD","","0,0","0,0","0,0","0,0"
"Maserati LEVANTE (5APD1) M156 1F4 5APD1","","12,5","13,4","283,0","303,0"
"Maserati LEVANTE DIESEL (5HDG) M156 1G4 5HDG","","0,0","0,0","0,0","0,0"
"Maserati LEVANTE DIESEL (5HDGD) M156 1G4 5HDGD","","0,0","0,0","0,0","0,0"
"Maserati LEVANTE DIESEL (5LDG) M156 1G4 5LDG","","0,0","0,0","0,0","0,0"
"Maserati LEVANTE DIESEL (5LDGD) M156 1G4 5LDGD","","0,0","0,0","0,0","0,0"
"Maserati LEVANTE GT HYBRID (5AP) M156 1L4 5AP","","9,8","10,7","223,0","243,0"
"Maserati LEVANTE GT HYBRID (5APD) M156 1L4 5APD","","9,8","10,7","223,0","243,0"
"Maserati LEVANTE GTS (5LAP) M156 1H4 5LAP","","0,0","0,0","0,0","0,0"
"Maserati LEVANTE GTS (5LAP1) M156 1H4 5LAP1","","13,8","14,7","311,0","332,0"
"Maserati LEVANTE MODENA S (5AP1L) M156 1E4 5AP1L","","12,0","12,9","271,0","292,0"
"Maserati LEVANTE S (5AP) M156 1E4 5AP","","0,0","0,0","0,0","0,0"
"Maserati LEVANTE S (5AP1) M156 1E4 5AP1","","12,0","12,9","271,0","292,0"
