"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Mazda 3 2.0GE (186) RESTO DE VERSIONES -X 5P Aut.","","6,0","6,0","137,0","137,0"
"Mazda 3 2.0GE (186) RESTO DE VERSIONES -X 5P Man.","","5,3","5,3","120,0","120,0"
"Mazda 3 2.0GE (186) VERSIONES -X 4P Aut.","","5,9","5,9","134,0","134,0"
"Mazda 3 2.0GE (186) VERSIONES -X 4P Man.","","5,1","5,1","116,0","116,0"
"Mazda CX-3 2.0GE (121) 2WD","","6,2","6,2","140,0","140,0"
"Mazda CX-3 2.0GE (121) 2WD AUT.","","7,1","7,1","160,0","160,0"
"Mazda CX-30 (2020) 1.8DE (115) 2WD","","5,1","5,1","135,0","135,0"
"Mazda CX-30 (2020) 1.8DE (115) 2WD AUT.","","6,0","6,0","158,0","158,0"
"Mazda CX-30 (2020) 2.0GE (122) 2WD","","6,2","6,2","141,0","141,0"
"Mazda CX-30 (2020) 2.0GE (122) 2WD AUT.","","6,6","6,6","151,0","151,0"
"Mazda CX-30 (2020) 2.0GE (122) AWD","","6,8","6,8","153,0","153,0"
"Mazda CX-30 (2020) 2.0GE (122) AWD AUT.","","7,3","7,3","165,0","165,0"
"Mazda CX-30 (2020) 2.0GE (180) 2WD -X","","5,9","5,9","133,0","133,0"
"Mazda CX-30 (2020) 2.0GE (180) 2WD -X AUT.","","6,5","6,5","146,0","146,0"
"Mazda CX-30 (2020) 2.0GE (180) AWD ZENITH-X","","6,5","6,5","146,0","146,0"
"Mazda CX-30 (2020) 2.0GE (180) AWD ZENITH-X AUT.","","7,0","7,0","160,0","160,0"
"Mazda CX-30 2.0GE (122) 2WD ORIGIN MAN.","","5,9","5,9","134,0","134,0"
"Mazda CX-30 2.0GE (122) 2WD RESTO VERSIONES MAN.","","5,9","5,9","134,0","134,0"
"Mazda CX-30 2.0GE (122) 2WD TODAS LAS VERSIONES AUT.","","6,4","6,4","144,0","144,0"
"Mazda CX-30 2.0GE (186) 2WD EVOLUTION-X MAN.","","5,6","5,6","127,0","127,0"
"Mazda CX-30 2.0GE (186) 2WD TODAS LAS VERSIONES-X AUT.","","6,1","6,1","138,0","138,0"
"Mazda CX-30 2.0GE (186) 2WD ZENITH-X MAN.","","5,7","5,7","128,0","128,0"
"Mazda CX-30 2.0GE (186) AWD ZENITH-X AUT.","","6,6","6,6","148,0","148,0"
"Mazda CX-30 2.0GE (186) AWD ZENITH-X MAN.","","6,0","6,0","136,0","136,0"
"Mazda CX-5 (2021) 2.0GE (165) 4x2 EVOLUTION Aut.","","7,3","7,3","165,0","165,0"
"Mazda CX-5 (2021) 2.0GE (165) 4x2 EVOLUTION Y ZENITH","","6,7","6,7","152,0","152,0"
"Mazda CX-5 (2021) 2.0GE (165) 4x2 ORIGIN","","6,8","6,8","154,0","154,0"
"Mazda CX-5 (2021) 2.0GE (165) 4x2 RESTO DE VERSIONES Aut.","","7,3","7,3","166,0","166,0"
"Mazda CX-5 (2021) 2.0GE (165) 4x2 ZENITH BLACK WITHE Y HOMURA","","6,8","6,8","153,0","153,0"
"Mazda CX-5 (2021) 2.2DE (150) 4x2 Aut.","","6,1","6,1","160,0","160,0"
"Mazda CX-5 (2021) 2.2DE (150) 4x2 EVOLUTION","","5,6","5,6","147,0","147,0"
"Mazda CX-5 (2021) 2.2DE (150) 4x2 ORIGIN","","5,6","5,6","147,0","147,0"
"Mazda CX-5 (2021) 2.2DE (150) 4x2 RESTO VERSIONES","","5,6","5,6","147,0","147,0"
"Mazda CX-5 (2021) 2.2DE (184) 4x2 Aut.","","6,1","6,1","160,0","160,0"
"Mazda CX-5 (2021) 2.2DE (184) 4x4 RESTO DE VERSIONES Aut.","","6,6","6,6","173,0","173,0"
"Mazda CX-5 (2021) 2.2DE (184) 4x4 SIGNATURE Aut.","","6,6","6,6","173,0","173,0"
"Mazda CX-5 (2021) 2.5GE (194) 4x2 RESTO DE VERSIONES Aut.","","7,6","7,6","172,0","172,0"
"Mazda CX-5 (2021) 2.5GE (194) 4x2 ZENITH Aut.","","7,6","7,6","171,0","171,0"
"Mazda CX-5 (2021) 2.5GE (194) 4x4 Aut.","","8,0","8,0","182,0","182,0"
"Mazda MAZDA 6 Mazda 6 2.0GE (145) SDN","","6,7","6,7","152,0","152,0"
"Mazda MAZDA 6 Mazda 6 2.0GE (145) SDN Aut.","","7,0","7,0","159,0","159,0"
"Mazda MAZDA 6 Mazda 6 2.0GE (145) WG","","6,8","6,8","155,0","155,0"
"Mazda MAZDA 6 Mazda 6 2.0GE (145) WG Aut.","","7,2","7,2","164,0","164,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (150) SDN","","5,1","5,1","137,0","137,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (150) SDN Aut.","","5,9","5,9","152,0","152,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (150) WGN","","5,3","5,3","141,0","141,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (150) WGN Aut.","","6,0","6,0","155,0","155,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (150) WGN AWD","","6,1","6,1","162,0","162,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (184) SDN","","5,3","5,3","140,0","140,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (184) SDN Aut.","","5,9","5,9","152,0","152,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (184) WG","","5,5","5,5","144,0","144,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (184) WG Aut.","","6,0","6,0","155,0","155,0"
"Mazda MAZDA 6 Mazda 6 2.2DE (184) WG AWD Aut.","","6,7","6,7","176,0","176,0"
"Mazda MAZDA 6 Mazda 6 2.5GE (194) SDN Aut.","","7,4","7,4","167,0","167,0"
"Mazda MAZDA 6 Mazda 6 2.5GE (194) WGN Aut.","","7,6","7,6","172,0","172,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.0GE (165) 4x2","","7,1","7,1","160,0","160,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.0GE (165) 4x2 Aut.","","7,7","7,7","173,0","173,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.0GE (165) 4x2 ORIGIN Y EVOLUTION","","7,2","7,2","163,0","163,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.0GE (165) 4x4","","7,8","7,8","179,0","179,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.0GE (165) 4x4 Aut.","","8,3","8,3","188,0","188,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.2DE (150) 4x2","","5,7","5,7","151,0","151,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.2DE (150) 4x2 Aut.","","6,5","6,5","171,0","171,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.2DE (150) 4x2 ORIGIN Y EVOLUTION","","5,9","5,9","154,0","154,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.2DE (150) 4x4","","6,6","6,6","175,0","175,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.2DE (150) 4x4 Aut.","","7,2","7,2","189,0","189,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.2DE (184) 4x4","","6,6","6,6","175,0","175,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.2DE (184) 4x4 Aut.","","7,1","7,1","186,0","186,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.5GE (194) 4x2 Aut.","","7,9","7,9","179,0","179,0"
"Mazda MAZDA CX-5 Mazda CX-5 2.5GE (194) 4x4 Aut.","","8,4","8,4","192,0","192,0"
"Mazda MAZDA MX-30 Mazda MX-30","","0,0","0,0","0,0","0,0"
"Mazda MX-5 1.5GE 132CV TODAS LAS VERSIONES","","6,3","6,3","142,0","142,0"
"Mazda MX-5 2.0GE 184CV AUT TODAS LAS VERSIONES","","7,6","7,6","171,0","171,0"
"Mazda MX-5 2.0GE 184CV TODAS LAS VERSIONES","","6,9","6,9","155,0","155,0"
"Mercedes-Benz Actros 5 NGT 1835 L 4X2 (d.e.e.= 4000 mm)","","0,0","0,0","0,0","0,0"
"Mercedes-Benz Actros 5 NGT 2535 L 6X2 (d.e.e.= 4000 mm)","","0,0","0,0","0,0","0,0"
