"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Hyundai KONA FL TGDI 1.0 120CV 48V 4X2 N LINE","","6,1","6,1","138,0","138,0"
"Hyundai KONA FL TGDI 1.0 120CV 48V 4X2 TECNO","","6,0","6,0","136,0","136,0"
"Hyundai KONA FL TGDI 1.0 120CV 4X2 DT MAXX","","6,0","6,0","136,0","136,0"
"Hyundai KONA FL TGDI 1.0 120CV 4X2 KLASS","","5,8","5,8","131,0","131,0"
"Hyundai KONA FL TGDI 1.0 120CV 4X2 MAXX","","5,8","5,8","132,0","132,0"
"Hyundai KONA FL TGDI 1.0 120CV 4X2 TECNO","","6,0","6,0","136,0","136,0"
"Hyundai KONA FL TGDI 1.6 198CV 4X4 DT N LINE X","","7,4","7,4","168,0","168,0"
"Hyundai KONA FL TGDI 1.6 198CV 4X4 DT STYLE","","7,4","7,4","169,0","169,0"
"Hyundai KONA FL TGDI 1.6 198CV 4X4 DT TECNO","","7,4","7,4","167,0","167,0"
"Hyundai KONA HEV FL GDI 1.6 141CV DT MAXX","","4,9","4,9","112,0","112,0"
"Hyundai KONA HEV FL GDI 1.6 141CV DT STYLE SKY","","5,1","5,1","115,0","115,0"
"Hyundai KONA HEV FL GDI 1.6 141CV DT TECNO 2C","","4,9","4,9","113,0","113,0"
"Hyundai KONA HEV KONA HEV GDI 1.6 141CV DT KLASS","","4,9","4,9","112,0","112,0"
"Hyundai KONA HEV KONA HEV GDI 1.6 141CV DT SLE","","4,9","4,9","112,0","112,0"
"Hyundai KONA HEV KONA HEV GDI 1.6 141CV DT STYLE SKY","","5,1","5,1","115,0","115,0"
"Hyundai KONA HEV KONA HEV GDI 1.6 141CV DT STYLE SKY LIME","","5,4","5,4","123,0","123,0"
"Hyundai KONA HEV KONA HEV GDI 1.6 141CV DT STYLE SKY RED","","5,1","5,1","115,0","115,0"
"Hyundai KONA HEV KONA HEV GDI 1.6 141CV DT TECNO LIME","","5,1","5,1","115,0","115,0"
"Hyundai KONA HEV KONA HEV GDI 1.6 141CV DT TECNO RED","","5,1","5,1","115,0","115,0"
"Hyundai KONA MY19 KONA CRDI 1.6 115CV 4X2 KLASS","","5,0","5,0","129,0","129,0"
