"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Hyundai i30 MY19 I30 5P TGDI 1.4 140CV DT N LINE MY19","","6,4","6,4","145,0","145,0"
"Hyundai i30 MY19 I30 5P TGDI 1.4 140CV N-LINE MY19","","6,7","6,7","152,0","152,0"
"Hyundai i30 MY19 I30 5P TGDI 1.4 140CV TECNO MY19","","6,5","6,5","147,0","147,0"
"Hyundai i30 MY19 I30 CW CRDI 1.6 116CV DT TECNO SKY MY19","","4,8","4,8","126,0","126,0"
"Hyundai i30 MY19 I30 CW CRDI 1.6 116CV GO PLUS MY19","","4,8","4,8","124,0","124,0"
"Hyundai i30 MY19 I30 CW CRDI 1.6 116CV KLASS MY19","","4,8","4,8","126,0","126,0"
"Hyundai i30 MY19 I30 CW CRDI 1.6 116CV TECNO SKY MY19","","5,0","5,0","132,0","132,0"
"Hyundai i30 MY19 I30 CW CRDI 1.6 136CV DT STYLE MY19","","5,0","5,0","127,0","127,0"
"Hyundai i30 MY19 I30 CW TGDI 1.0 120CV GO MY19","","6,1","6,1","139,0","139,0"
"Hyundai i30 MY19 I30 CW TGDI 1.0 120CV KLASS","","5,9","5,9","133,0","133,0"
"Hyundai i30 MY19 I30 CW TGDI 1.0 120CV KLASS MY19","","6,0","6,0","138,0","138,0"
"Hyundai i30 MY19 I30 CW TGDI 1.4 140CV DT GO PLUS MY19","","6,2","6,2","141,0","141,0"
"Hyundai i30 MY19 I30 CW TGDI 1.4 140CV DT STYLE BLUE MY19","","6,3","6,3","143,0","143,0"
"Hyundai i30 MY19 I30 CW TGDI 1.4 140CV DT STYLE MY19","","6,3","6,3","143,0","143,0"
"Hyundai i30 MY19 I30 CW TGDI 1.4 140CV DT TECNO SKY MY19","","6,3","6,3","143,0","143,0"
"Hyundai i30 MY19 I30 CW TGDI 1.4 140CV GO PLUS MY19","","6,5","6,5","147,0","147,0"
"Hyundai i30 MY19 I30 CW TGDI 1.4 140CV TECNO SKY MY19","","6,6","6,6","150,0","150,0"
"Hyundai i30 MY19 I30 FB CRDI 1.6 136CV TECNO MY19","","4,9","4,9","128,0","128,0"
"Hyundai i30 MY19 I30 FB TGDI 1.0 120CV KLASS  MY19","","6,0","6,0","138,0","138,0"
"Hyundai i30 MY19 I30 FB TGDI 1.0 120CV N-LINE MY19","","6,3","6,3","143,0","143,0"
"Hyundai i30 MY19 I30 FB TGDI 1.0 120CV TECNO MY19","","6,1","6,1","139,0","139,0"
"Hyundai i30 MY19 I30 FB TGDI 1.4 140CV DCT N-LINE MY19","","6,3","6,3","144,0","144,0"
"Hyundai i30 MY19 I30 FB TGDI 1.4 140CV DT STYLE MY19","","6,2","6,2","142,0","142,0"
"Hyundai i30 MY19 I30 FB TGDI 1.4 140CV DT STYLE RED MY19","","6,2","6,2","142,0","142,0"
"Hyundai i30 MY19 I30 FB TGDI 1.4 140CV DT TECNO  MY19","","6,2","6,2","141,0","141,0"
"Hyundai i30 MY19 I30 FB TGDI 1.4 140CV DT TECNO MY19","","6,2","6,2","141,0","141,0"
"Hyundai i30 MY19 I30 FB TGDI 1.4 140CV N-LINE MY19","","6,7","6,7","151,0","151,0"
"Hyundai i30 MY19 I30 FB TGDI 1.4 140CV TECNO MY19","","6,4","6,4","146,0","146,0"
"Hyundai i30 N MY19 I30 5P TGDI 2.0 250CV N MY19","","8,1","8,1","185,0","185,0"
"Hyundai i30 N MY19 I30 5P TGDI 2.0 250CV N SKY MY19","","8,1","8,1","185,0","185,0"
"Hyundai i30 N MY19 I30 5P TGDI 2.0 275CV N PERFORM MY19","","8,3","8,3","188,0","188,0"
"Hyundai i30 N MY19 I30 5P TGDI 2.0 275CV N PERFORM SKY MY19","","8,3","8,3","188,0","188,0"
"Hyundai i30 N MY19 I30 FB TGDI 2.0 275CV N PERFORMANCE MY19","","8,3","8,3","188,0","188,0"
"Hyundai i30 N PROJECT C I30 5P TGDI 2.0 275CV N PROJECT C","","8,3","8,3","188,0","188,0"
"Hyundai IONIQ 5 125kW 58kWh RWD LIGHT","","0,0","0,0","0,0","0,0"
"Hyundai IONIQ 5 160kW 73kWh RWD ENERGY","","0,0","0,0","0,0","0,0"
"Hyundai IONIQ 5 160kW 73kWh RWD LIGHT","","0,0","0,0","0,0","0,0"
