"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco Chasis Cab 35 S 14 N Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S 14 N Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S 14 N/P Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S 14 N/P Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S 14 N/P Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S Batería 1; Paso 3000","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S Batería 1; Paso 3450","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S Batería 1; Paso 3750","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S Batería 1; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S Batería 2; Paso 3450","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S Batería 2; Paso 3750","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S Batería 2; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S Batería 3; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S/P Batería 1; Paso 3000","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S/P Batería 1; Paso 3450","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S/P Batería 1; Paso 3750","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S/P Batería 1; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S/P Batería 2; Paso 3450","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S/P Batería 2; Paso 3750","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S/P Batería 2; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 S/P Batería 3; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 A8 N Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 A8 N Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 A8 N Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 A8 N/P Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 A8 N/P Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 A8 N/P Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 N Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 N Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 N Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 N/P Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 N/P Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 40 C 14 N/P Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 N Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 N Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 N Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 N Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 N/P Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 N/P Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 N/P Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 N/P Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 Z N Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 Z N Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 Z N Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 Z N Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 Z N/P Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 Z N/P Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
