"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Kia STONIC 1.0 MHEV 100CV iMT GT Line","","5,7","5,7","128,0","128,0"
"Kia STONIC 1.0 MHEV 120CV Drive DCT","","5,5","5,5","106,0","106,0"
"Kia STONIC 1.0 MHEV 120CV GT Line DCT","","5,7","5,7","107,0","107,0"
"Kia STONIC 1.0 MHEV 120CV iMT Concept","","5,5","5,5","101,0","101,0"
"Kia STONIC 1.0 MHEV 120CV iMT Drive","","5,4","5,4","99,0","99,0"
"Kia STONIC 1.0 MHEV 120CV iMT GT Line","","5,6","5,6","101,0","101,0"
"Kia STONIC 1.0 T-GDi 100CV Black Edition","","5,8","6,2","131,0","142,0"
"Kia STONIC 1.0 T-GDi 100CV Concept","","5,8","6,2","131,0","142,0"
"Kia STONIC 1.0 T-GDi 100CV Drive","","5,8","6,2","131,0","142,0"
"Kia STONIC 1.0 T-GDi 100CV Tech","","5,8","6,2","131,0","142,0"
"Kia STONIC 1.0 T-GDi 120CV Black Edition","","5,8","6,3","132,0","143,0"
"Kia STONIC 1.0 T-GDi 120CV Black Edition DCT","","6,1","6,1","138,0","138,0"
"Kia STONIC 1.0 T-GDi 120CV Concept","","5,8","6,3","132,0","143,0"
"Kia STONIC 1.0 T-GDi 120CV Drive","","5,8","6,3","132,0","143,0"
"Kia STONIC 1.0 T-GDi 120CV Tech","","5,8","6,3","132,0","143,0"
"Kia STONIC 1.0 T-GDi 120CV Tech DCT","","0,0","6,1","138,0","138,0"
"Kia STONIC 1.2 CVVT Concept","","6,5","6,8","147,0","154,0"
"Kia STONIC 1.2 CVVT Drive","","6,5","6,8","147,0","154,0"
"Kia STONIC 1.2 DPI Concept","","5,7","6,1","130,0","138,0"
"Kia STONIC 1.2 DPI Drive","","5,7","6,1","130,0","137,0"
"Kia STONIC 1.6 CRDi VGT 115CV Black Edition","","4,7","5,0","124,0","132,0"
"Kia STONIC 1.6 CRDi VGT 115CV Concept","","4,7","5,0","124,0","132,0"
"Kia XCEED 1.0 T-GDi Concept 120CV Eco-Dynamics","","6,2","6,2","140,0","140,0"
"Kia XCEED 1.0 T-GDi Drive 120CV Eco-Dynamics","","6,2","6,2","140,0","140,0"
"Kia XCEED 1.0 T-GDi Emotion 120CV Eco-Dynamics","","6,5","6,5","148,0","148,0"
"Kia XCEED 1.0 T-GDi Tech 120CV Eco-Dynamics","","6,4","6,4","146,0","146,0"
"Kia XCEED 1.4 T-GDi Drive 140CV Eco-Dynamics","","6,4","6,4","146,0","146,0"
"Kia XCEED 1.4 T-GDi Emotion 140CV DCT Eco-Dynamics","","6,9","6,9","158,0","158,0"
"Kia XCEED 1.4 T-GDi Emotion 140CV Eco-Dynamics","","6,6","6,6","151,0","151,0"
"Kia XCEED 1.4 T-GDi Tech 140CV DCT Eco-Dynamics","","6,8","6,8","156,0","156,0"
"Kia XCEED 1.4 T-GDi Tech 140CV Eco-Dynamics","","6,6","6,6","150,0","150,0"
"Kia XCEED 1.5 MHEV Emotion 160CV DCT Eco-Dynamics","","6,0","6,1","137,0","138,0"
"Kia XCEED 1.5 MHEV Emotion 160CV DCT Eco-Dynamics (Pack Premium)","","6,0","6,1","137,0","138,0"
"Kia XCEED 1.5 MHEV Emotion 160CV DCT Eco-Dynamics (Yellow Pack)","","6,0","6,1","137,0","138,0"
"Kia XCEED 1.5 MHEV iMT Drive 160CV Eco-Dynamics","","6,0","6,0","135,0","135,0"
"Kia XCEED 1.5 MHEV iMT Emotion 160CV Eco-Dynamics","","6,2","6,3","141,0","143,0"
"Kia XCEED 1.5 MHEV iMT Emotion 160CV Eco-Dynamics (Pack Premium)","","6,2","6,3","141,0","143,0"
"Kia XCEED 1.5 MHEV iMT Emotion 160CV Eco-Dynamics (Yellow Pack)","","6,2","6,3","141,0","143,0"
"Kia XCEED 1.5 MHEV iMT Tech 160CV Eco-Dynamics","","6,2","6,3","141,0","143,0"
"Kia XCEED 1.5 MHEV Tech 160CV DCT Eco-Dynamics","","6,0","6,1","137,0","138,0"
"Kia XCEED 1.6 CRDi Concept 115CV Eco-Dynamics","","5,4","5,4","142,0","142,0"
"Kia XCEED 1.6 CRDi Drive 115CV Eco-Dynamics","","5,4","5,4","142,0","142,0"
