"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Kia Canarias Rio 1.4MPI 74kW(100cv) 2wd 6MT ACTIVE {MY20}","","6,1","6,1","139,0","139,0"
"Kia Canarias Rio 1.4MPI 74kW(100cv) 2wd 6MT GT-LINE SPORT {MY20}","","6,3","6,3","144,0","144,0"
"Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 2wd 6AT KLASS {MY21}","","6,7","6,7","153,0","153,0"
"Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 2wd 6AT SPIRIT {MY21}","","6,7","6,7","153,0","153,0"
"Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 4wd 6AT KLASS {MY21}","","7,4","7,4","169,0","169,0"
"Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 4wd 6AT SPIRIT {MY21}","","7,4","7,4","169,0","169,0"
"Kia Canarias Sorento 1.6TGDI-PHEV 195kW(265cv) 4wd 6AT KLASS {MY21}","","0,5","0,4","38,0","38,0"
"Kia Canarias Sorento 1.6TGDI-PHEV 195kW(265cv) 4wd 6AT SPIRIT {MY21}","","0,5","0,4","38,0","38,0"
"Kia Canarias Sorento 2.2CRDI 148kW(202cv) 2wd 8DCT SPIRIT {MY21}","","7,1","7,1","163,0","163,0"
"Kia Canarias Sportage 1.6CRDI 100kW(136cv) 2wd 6MT OPEN SPIRIT {MY20}","","6,1","6,1","160,0","160,0"
"Kia Canarias Sportage 1.6CRDI-MHEV 100kW(136cv) 2wd 6MT ACTIVE {MY20}","","5,7","5,7","149,0","149,0"
"Kia Canarias Sportage 1.6CRDI-MHEV 100kW(136cv) 2wd 6MT ACTIVE {MY21}","","5,6","5,6","146,0","146,0"
"Kia Canarias Sportage 1.6CRDI-MHEV 100kW(136cv) 2wd 6MT OPEN SPIRIT {MY20}","","5,8","5,8","153,0","153,0"
"Kia Canarias Sportage 1.6CRDI-MHEV 100kW(136cv) 2wd 6MT SPIRIT {MY21}","","5,6","5,6","146,0","146,0"
"Kia Canarias Sportage 1.6GDI 97kW(132cv) 2wd 6MT ACTIVE {MY21}","","7,8","7,8","177,0","177,0"
"Kia Canarias Sportage 1.6GDI 97kW(132cv) 2wd 6MT ACTIVE(+barras techo) {MY21}","","7,8","7,8","166,0","166,0"
"Kia Canarias Sportage 1.6GDI 97kW(132cv) 2wd 6MT FLEX {MY20}","","7,9","7,9","179,0","179,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT ACTIVE {MY20}","","8,0","8,0","182,0","182,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT ACTIVE {MY21}","","7,9","7,9","180,0","180,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT BLACK EDITION {MY21}","","7,9","7,9","179,0","179,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT GT-LINE SPORT (+techo solar panorámico) {MY20}","","8,1","8,1","184,0","184,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT GT-LINE SPORT (+techo solar panorámico) {MY21}","","8,2","8,2","186,0","186,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT GT-LINE SPORT {MY20}","","8,1","8,1","183,0","183,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT OPEN SPIRIT {MY20}","","8,1","8,1","184,0","184,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT OPEN SPIRIT {MY21}","","8,1","8,1","184,0","184,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 7DCT GT-LINE PREMIUM {MY21}","","8,1","8,1","183,0","183,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 7DCT GT-LINE SPORT (+techo solar panorámico) {MY20}","","8,1","8,1","184,0","184,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 7DCT GT-LINE SPORT (+techo solar panorámico) {MY21}","","8,1","8,1","182,0","182,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 7DCT OPEN SPIRIT {MY20}","","7,9","7,9","180,0","180,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 4wd 7DCT GT-LINE PREMIUM {MY20}","","8,8","8,8","200,0","200,0"
"Kia Canarias Sportage 1.6TGDI 130kW(177cv) 4wd 7DCT GT-LINE PREMIUM {MY21}","","8,5","8,5","193,0","193,0"
"Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT ACTIVE {MY21}","","5,7","5,7","130,0","130,0"
"Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE (+pack LEDs) bitono {MY21}","","5,8","5,8","133,0","133,0"
"Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE (+pack LEDs) {MY21}","","5,8","5,8","133,0","133,0"
"Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE bitono {MY21}","","5,8","5,8","133,0","133,0"
"Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE {MY21}","","5,8","5,8","133,0","133,0"
"Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 7DCT ACTIVE {MY21}","","5,7","5,7","130,0","130,0"
"Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 7DCT GT-LINE (+pack LEDs) {MY21}","","6,0","6,0","135,0","135,0"
"Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 7DCT GT-LINE bitono {MY21}","","6,0","6,0","135,0","135,0"
"Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 7DCT GT-LINE {MY21}","","6,0","6,0","135,0","135,0"
"Kia Canarias Stonic 1.0TGDI 88kW(120cv) 2wd 6MT SPIRIT PLUS {MY20}","","6,1","6,1","138,0","138,0"
"Kia Canarias Stonic 1.0TGDI-MHEV 74kW(100cv) 2wd 6MT ECO {MY21}","","5,5","5,5","125,0","125,0"
"Kia Canarias Stonic 1.0TGDI-MHEV 88kW(120cv) 2wd 6MT GT-LINE bitono {MY21}","","5,6","5,6","127,0","127,0"
"Kia Canarias Stonic 1.0TGDI-MHEV 88kW(120cv) 2wd 6MT GT-LINE {MY21}","","5,6","5,6","127,0","127,0"
"Kia Canarias Stonic 1.2DPI 63kW(85cv) 2wd 5MT ACTIVE {MY21}","","6,0","6,0","137,0","137,0"
"Kia Canarias Stonic 1.4MPI 74kW(100cv) 2wd 6AT ACTIVE {MY20}","","6,8","6,8","154,0","154,0"
"Kia Canarias Stonic 1.4MPI 74kW(100cv) 2wd 6MT ACTIVE {MY20}","","6,3","6,3","142,0","142,0"
"Kia Canarias Stonic 1.4MPI 74kW(100cv) 2wd 6MT SPIRIT PLUS {MY20}","","6,3","6,3","143,0","143,0"
"Kia Canarias Stonic 1.6CRDI 85kW(115cv) 2wd 6MT SPIRIT PLUS {MY20}","","5,0","5,0","131,0","131,0"
"Kia Canarias Xceed 1.0TGDI 88kW(120cv) 2wd 6MT ACTIVE {MY20}","","6,2","6,2","140,0","140,0"
"Kia Canarias Xceed 1.0TGDI 88kW(120cv) 2wd 6MT SPIRIT PLUS {MY20}","","6,4","6,4","146,0","146,0"
"Kia Canarias Xceed 1.0TGDI 88kW(120cv) 2wd 6MT SPIRIT PLUS {MY20} (+opcional EPB)","","6,4","6,4","146,0","146,0"
"Kia Canarias Xceed 1.4TGDI 103kW(140cv) 2wd 6MT SPIRIT PLUS {MY20}","","6,6","6,6","150,0","150,0"
"Kia Canarias Xceed 1.4TGDI 103kW(140cv) 2wd 6MT SPIRIT PLUS {MY20} (+opcional EPB)","","6,6","6,6","150,0","150,0"
"Kia Canarias Xceed 1.4TGDI 103kW(140cv) 2wd 7DCT SPIRIT PLUS {MY20} (+opcional EPB)","","6,9","6,9","156,0","156,0"
"Kia Canarias Xceed 1.4TGDI 103kW(140cv) 2wd 7DCT VISION {MY20}","","7,0","7,0","159,0","159,0"
"Kia Canarias Xceed 1.5TGDI 117kW(160cv) 2wd 6MT SPIRIT PLUS {MY21}","","6,3","6,3","142,0","142,0"
"Kia Canarias Xceed 1.6GDI-PHEV 104kW(141cv) 2wd 6DCT SPIRIT PLUS {MY21}","","1,7","1,7","38,0","38,0"
"Kia Canarias Xceed 1.6GDI-PHEV 104kW(141cv) 2wd 6DCT VISION {MY21}","","1,7","1,7","38,0","38,0"
"Kia Canarias Xceed 1.6TGDI 150kW(204cv) 2wd 7DCT VISION {MY20}","","7,1","7,1","161,0","161,0"
"Kia CEED 1.0 T-GDi 100CV Concept Eco-Dynamics","","5,6","6,1","127,0","139,0"
"Kia CEED 1.0 T-GDi 100CV Drive Eco-Dynamics","","5,6","6,1","127,0","139,0"
"Kia CEED 1.0 T-GDi 100CV Tech Eco-Dynamics","","5,6","6,1","127,0","139,0"
"Kia CEED 1.0 T-GDi 120CV Concept Eco-Dynamics","","5,6","5,6","127,0","127,0"
"Kia CEED 1.0 T-GDi 120CV Drive Eco-Dynamics","","5,6","6,1","127,0","139,0"
"Kia CEED 1.0 T-GDi 120CV GT Line Eco-Dynamics","","5,6","6,1","127,0","139,0"
