"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Toyota Canarias PROACE CITY VERSO Family L1 1.2P 110CV 6MT Olivina","","6,5","7,7","147,0","175,0"
"Toyota Canarias PROACE CITY VERSO Family L1 1.2P 110CV 8AT Olivina","","6,5","7,7","147,0","175,0"
"Toyota Canarias PROACE CITY VERSO Family L1 1.2P 130CV 8AT Olivina","","6,6","7,8","150,0","176,0"
"Toyota Canarias PROACE CITY VERSO Family L1 1.5D 130CV 6MT Olivina","","5,2","5,1","137,0","160,0"
"Toyota Canarias PROACE CITY VERSO Family L1 1.5D 130CV 6MT Olivina","","5,2","6,1","137,0","160,0"
"Toyota Canarias PROACE CITY VERSO Family L1 1.5D 130CV 8AT Olivina","","5,4","6,2","137,0","160,0"
"Toyota Canarias PROACE CITY VERSO Family L1 1.5D 130CV 8AT Olivina","","5,4","6,2","141,0","163,0"
"Toyota Canarias PROACE CITY VERSO Family L2 1.2P 130CV 8AT Olivina (7 plazas)","","6,6","7,8","141,0","163,0"
"Toyota Canarias PROACE CITY VERSO Family L2 1.2P 130CV 8AT Olivina (7 plazas)","","6,6","7,8","149,0","176,0"
"Toyota Canarias PROACE CITY VERSO Family L2 1.5D 130CV 8AT Olivina (7 plazas)","","5,4","6,2","141,0","163,0"
"Toyota Canarias PROACE CITY VERSO Family L2 1.5D 130CV 8AT Olivina (7 plazas)","","5,4","6,2","141,0","163,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L1 1.5D 100CV 5MT Ópalo","","5,8","6,9","133,0","160,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L1 1.5D 100CV Ópalo","","5,1","6,1","133,0","160,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L1 1.5D 130CV 6MT Ópalo","","5,2","6,1","137,0","160,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L1 1.5D 130CV 8AT Ópalo","","5,4","6,2","141,0","163,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L1 1.5D 130CV 8AT Ópalo","","5,4","6,2","141,0","163,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L1 1.5D 130CV Ópalo","","5,2","6,1","137,0","160,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L2 1.5D 130CV 6MT Ópalo","","5,2","6,1","137,0","160,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L2 1.5D 130CV 6MT Ópalo (7 plazas)","","5,2","6,1","137,0","160,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L2 1.5D 130CV Ópalo","","5,2","6,1","137,0","160,0"
"Toyota Canarias PROACE CITY VERSO Shuttle L2 1.5D 130CV Ópalo 7 plazas","","5,2","6,1","137,0","160,0"
"Toyota Canarias PROACE VAN L0 1.5D 100CV 6MT Basalto","","6,4","7,3","167,8","192,0"
"Toyota Canarias PROACE VAN L1 1.5D 120CV 6MT Basalto","","6,0","6,7","158,6","176,7"
"Toyota Canarias PROACE VAN L1 1.5D 120CV 6MT Basalto","","6,0","6,7","158,6","176,7"
"Toyota Canarias PROACE VAN L1 1.5D 120CV 6MT Ópalo","","6,0","6,7","158,6","176,7"
"Toyota Canarias PROACE VAN L1 1.5D 120CV 6MT Ópalo","","6,0","6,7","158,6","176,7"
"Toyota Canarias PROACE VAN L1 2.0D 120CV 6MT Ópalo","","6,9","7,5","182,9","203,1"
"Toyota Canarias PROACE VAN L2 2.0D 120CV 6MT Ópalo","","7,0","7,9","184,1","206,1"
"Toyota Canarias PROACE VERSO Combi L0 1.5D 100CV 6MT Basalto","","6,1","7,1","160,0","184,0"
"Toyota Canarias PROACE VERSO Combi L0 1.5D 120CV 6MT Basalto 6 plazas","","6,1","6,9","159,0","181,0"
"Toyota Canarias PROACE VERSO Combi L1 1.5D 100CV 6MT Basalto","","6,1","7,1","160,0","184,0"
"Toyota Canarias PROACE VERSO Combi L1 1.5D 120CV 6MT Basalto","","6,1","7,1","157,0","185,0"
"Toyota Canarias PROACE VERSO Combi L1 1.5D 120CV 6MT Basalto","","6,0","7,1","157,0","185,0"
"Toyota Canarias PROACE VERSO Combi L1 1.5D 120CV 6MT Basalto","","6,1","7,1","157,0","185,0"
"Toyota Canarias PROACE VERSO Combi L1 1.5D 120CV 6MT Basalto 6 plazas","","6,1","6,9","159,0","181,0"
"Toyota Canarias PROACE VERSO Combi L1 1.5D 120CV 6MT Basalto 9 plazas","","6,1","6,9","159,0","181,0"
"Toyota Canarias PROACE VERSO Combi L2 2.0D 140CV 6MT Basalto 9 plazas","","6,7","7,7","174,0","203,0"
"Toyota Canarias PROACE VERSO Combi L2 2.0D 150CV 6MT Basalto","","6,8","7,9","177,0","205,0"
"Toyota Canarias PROACE VERSO Combi L2 2.0D 150CV 6MT Basalto","","6,8","7,9","177,0","205,0"
"Toyota Canarias PROACE VERSO Family & VIP L1 2.0D 180CV 6AT Olivina Plus","","7,0","8,0","183,0","209,0"
"Toyota Canarias PROACE VERSO Family & VIP L1 2.0D 180CV 6AT Olivina Plus","","7,0","8,0","183,0","209,0"
"Toyota Canarias PROACE VERSO Family & VIP L1 2.0D 180CV 6AT Olivina Plus","","6,7","7,8","176,0","205,0"
"Toyota Canarias PROACE VERSO Family L0 1.5D 120CV 6MT Olivina","","6,0","7,1","157,0","185,0"
