"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco EUROCARGO ML90E21/P CNG Paso 3105; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 3105; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 3330; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 3330; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 3690; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 3690; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 4185; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 4185; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 4455; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 4455; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 4815; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco EUROCARGO ML90E21/P CNG Paso 4815; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 A8 N SV 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 A8 N SV 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 A8 N SV 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 A8 N SV 17,5 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 A8 N SV/P 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 A8 N SV/P 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 A8 N SV/P 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 A8 N SV/P 17,5 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 N SV 10,8 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 N SV 12 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 N SV 16 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 N SV 17,5 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 N SV/P 10,8 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 N SV/P 12 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 N SV/P 16 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 C 14 N SV/P 17,5 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 A8 N SV 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 A8 N SV 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 A8 N SV 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 A8 N SV/P 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 A8 N SV/P 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 A8 N SV/P 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 N SV 10,8 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 N SV 12 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 N SV 16 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 N SV/P 10,8 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 N SV/P 12 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 35 S 14 N SV/P 16 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 A8 N SV 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 A8 N SV 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 A8 N SV 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 A8 N SV 17,5 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 A8 N SV/P 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 A8 N SV/P 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 A8 N SV/P 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 A8 N SV/P 17,5 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 N SV 10,8 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 N SV 12 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 N SV 16 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 N SV 17,5 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 N SV/P 10,8 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 N SV/P 12 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 N SV/P 16 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 40 C 14 N SV/P 17,5 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 N SV 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 N SV 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 N SV 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 N SV/P 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 N SV/P 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 N SV/P 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 Z N SV 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 Z N SV 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 Z N SV 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 Z N SV/P 10,8 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 Z N SV/P 12 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 A8 Z N SV/P 16 m3;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 N SV 10,8 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 N SV 12 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 N SV 16 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Family 50 C 14 N SV/P 10,8 m3;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
