"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Hyundai Canarias Kona 2017 1.0 T-GDi 88,3 kW (120 CV) MT6 - Trend 16","","6,2","6,2","142,0","142,0"
"Hyundai Canarias Kona 2017 1.0 T-GDi 88,3 kW (120 CV) MT6 - Trend 16 MY20","","6,2","6,2","142,0","142,0"
"Hyundai Canarias Kona 2017 1.0 T-GDi 88,3 kW (120 CV) MT6 - Trend 18","","6,4","6,4","157,0","157,0"
"Hyundai Canarias Kona 2017 1.0 T-GDi 88,3 kW (120 CV) MT6 - Trend Design","","6,4","6,4","157,0","157,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 100 kW (136 CV) DCT7 2WD - Premium","","5,4","5,4","137,0","137,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 100 kW (136 CV) DCT7 2WD - Style","","5,4","5,4","137,0","137,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 100 kW (136 CV) DCT7 2WD - Style Leather","","5,4","5,4","137,0","137,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 100 kW (136 CV) DCT7 2WD - Trend 18","","5,4","5,4","137,0","137,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 100 kW (136 CV) DCT7 2WD - Trend Design","","5,4","5,4","137,0","137,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 85 kW (115 CV) MT6 - Premium","","5,0","5,0","132,0","132,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 85 kW (115 CV) MT6 - Style","","5,0","5,0","132,0","132,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 85 kW (115 CV) MT6 - Style Leather","","5,0","5,0","132,0","132,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 85 kW (115 CV) MT6 - Trend 18","","5,0","5,0","132,0","132,0"
"Hyundai Canarias Kona 2017 1.6 CRDi 85 kW (115 CV) MT6 - Trend Design","","5,0","5,0","132,0","132,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 2WD - Premium","","7,2","7,2","164,0","164,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 2WD - Style","","7,2","7,2","164,0","164,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 2WD - Style Leather","","7,2","7,2","164,0","164,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 2WD - Trend 18","","7,2","7,2","164,0","164,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 2WD - Trend Design","","7,2","7,2","164,0","164,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 4WD - Iron-Man Edition","","8,3","8,3","189,0","189,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 4WD - Premium","","8,2","8,2","186,0","186,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 4WD - Style","","8,2","8,2","186,0","186,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 4WD - Style Leather","","8,2","8,2","186,0","186,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 4WD - Trend 18","","8,2","8,2","186,0","186,0"
"Hyundai Canarias Kona 2017 1.6 T-GDi 130 kW (177 CV) DCT7 4WD - Trend Design","","8,2","8,2","186,0","186,0"
"Hyundai Canarias Kona Eléctrico 2018 Motor eléctrico 100kW (136 CV)","","0,0","0,0","0,0","0,0"
"Hyundai Canarias Kona Eléctrico 2018 Motor eléctrico 150kW (204 CV)","","0,0","0,0","0,0","0,0"
"Hyundai Canarias KONA Eléctrico FL 2020 Motor eléctrico 100kW (136 CV)","","0,0","0,0","0,0","0,0"
"Hyundai Canarias KONA Eléctrico FL 2020 Motor eléctrico 150kW (204 CV)","","0,0","0,0","0,0","0,0"
