"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Toyota RAV4 HYBRID 4x2 2.5 Business Llanta 17p (MY21)","","5,6","5,8","125,0","131,0"
"Toyota RAV4 HYBRID 4x2 2.5 Feel Llanta 18p (MY21)","","5,5","5,9","125,0","134,0"
"Toyota RAV4 HYBRID 4x2 2.5 Feel+ techo Llanta 18p (MY21)","","5,5","5,9","125,0","134,0"
"Toyota RAV4 HYBRID 4x2 2.5 Llanta 17p (MY20)","","5,5","5,8","125,0","131,0"
"Toyota RAV4 HYBRID 4x2 2.5 Style/Luxury Llanta 19p (MY21)","","5,5","5,9","125,0","134,0"
"Toyota RAV4 HYBRID 4x2 Llanta 17p (NG19)","","5,5","5,8","125,0","131,0"
"Toyota RAV4 HYBRID 4x2 Llanta 18p (NG19)","","5,5","5,8","125,0","131,0"
"Toyota RAV4 HYBRID 4x4 2,5 Llanta 17p (MY20)","","5,6","5,9","127,0","133,0"
"Toyota RAV4 HYBRID 4x4 2,5 Llanta 18p (MY20)","","5,6","5,9","127,0","133,0"
"Toyota RAV4 HYBRID 4x4 2.5 Advance Llanta 18p (MY21)","","5,6","5,9","127,0","133,0"
"Toyota RAV4 HYBRID 4x4 2.5 Feel Llanta 18p (MY21)","","5,6","6,0","127,0","136,0"
"Toyota RAV4 HYBRID 4x4 2.5 Style Llanta 19p (MY21)","","5,6","6,0","127,0","136,0"
"Toyota RAV4 HYBRID 4x4 Llanta 17p (NG19)","","5,6","5,9","127,0","133,0"
"Toyota RAV4 HYBRID 4x4 Llanta 18p (NG19)","","5,6","5,9","127,0","133,0"
"Toyota RAV4 HYBRID 4x4 Luxury 2,5 Llanta 18p (MY20)","","5,6","5,9","127,0","133,0"
"Toyota RAV4 HYBRID 4x4 Luxury Llanta 18p (NG19)","","5,6","5,9","127,0","133,0"
"Toyota RAV4 PLUG-IN Advance/Advance plus (MY21)","","1,0","1,0","22,2","22,2"
"Toyota RAV4 PLUG-IN Style plus (MY21)","","1,0","1,0","22,2","22,2"
"Toyota SUPRA (MY19)","","7,5","7,5","170,0","170,0"
"Toyota SUPRA Performance (MY21)","","8,1","8,1","184,7","184,7"
"Toyota SUPRA Pure (MY21)","","7,4","7,4","167,3","167,3"
"Toyota YARIS 1.0 Business/Active Tech Llanta 15p (NG20)","","5,5","5,9","126,0","134,0"
"Toyota YARIS 1.5 Business/Active Tech Llanta 15p (NG20)","","4,9","5,4","117,0","127,0"
"Toyota YARIS 1.5 Feel Llanta 16p (NG20)","","4,9","5,4","117,0","127,0"
"Toyota YARIS 1.5 S-Edition Llanta 15p (NG20)","","4,9","5,4","117,0","127,0"
"Toyota YARIS 110 Active Llanta15p (RC19)","","5,9","6,5","133,0","146,0"
"Toyota YARIS 110 Feel! Llanta 16p (RC19)","","5,9","6,5","133,0","146,0"
"Toyota YARIS 70 Active Llanta 15p (RC19)","","5,7","6,3","128,0","142,0"
"Toyota YARIS 70 Business Llanta 15p (RC19)","","5,7","6,3","128,0","142,0"
"Toyota YARIS Active 110 Llanta 15p (MY20)","","5,9","6,5","133,0","146,0"
"Toyota YARIS Active 70 Llanta 15p (MY20)","","5,7","6,3","128,0","142,0"
"Toyota YARIS Business 70 Llanta 15p (MY20)","","5,7","6,3","128,0","142,0"
"Toyota YARIS Business plus/Active tech/Style/Style plus (MY21)","","3,8","4,9","85,1","111,7"
"Toyota YARIS CROSS Adventure/Premiere edition (MY21)","","4,6","5,1","105,3","116,0"
"Toyota YARIS CROSS Business plus/Active tech/Style/Style plus (MY21)","","4,3","5,2","98,2","117,2"
"Toyota YARIS Feel! 110 Llanta 16p (MY20)","","5,9","6,5","133,0","146,0"
"Toyota YARIS HYBRID 1.5 Business/ Active Tech Llanta 15p (NG20)","","3,7","4,9","85,0","112,0"
"Toyota YARIS HYBRID 1.5 Feel Llanta 16p (NG20)","","3,7","4,9","85,0","112,0"
"Toyota YARIS HYBRID 1.5 Style/ Style Plus /Style Premier Edition Llanta 17p (NG20)","","3,7","4,9","85,0","112,0"
"Toyota YARIS HYBRID 100H Active Llanta 15p (MY20)","","4,7","5,1","106,0","114,0"
