"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Mercedes-Benz Sprinter Sprinter 311 CDI tD CHASIS CABINA COMPACTO aut.","","9,7","9,7","253,0","253,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tD CHASIS CABINA COMPACTO man.","","9,5","9,5","248,0","248,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tD CHASIS CABINA MEDIO aut.","","9,6","10,3","252,0","269,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tD CHASIS CABINA MEDIO man.","","9,5","9,5","249,0","249,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tD FURGON COMPACTO aut.","","8,8","9,5","230,0","249,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tD FURGON COMPACTO man.","","8,8","9,4","231,0","247,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tD FURGON MEDIO T.E. aut.","","9,1","9,8","239,0","257,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tD FURGON MEDIO T.E. man.","","9,1","9,7","239,0","255,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tT FURGON COMPACTO man.","","9,1","9,9","238,0","260,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tT FURGON LARGO T.E.","","9,6","10,2","252,0","267,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tT FURGON MEDIO T.E.","","9,4","10,2","246,0","266,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tT MIXTO COMPACTO","","9,1","9,9","239,0","260,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tT MIXTO LARGO T.E.","","9,6","10,2","253,0","267,0"
"Mercedes-Benz Sprinter Sprinter 311 CDI tT MIXTO MEDIO T.E.","","9,5","10,2","248,0","266,0"
"Mercedes-Benz Sprinter Sprinter 314 CDI tD FURGON COMPACTO aut.","","8,6","9,5","225,0","249,0"
"Mercedes-Benz Sprinter Sprinter 314 CDI tD FURGON COMPACTO man.","","8,7","9,6","229,0","252,0"
"Mercedes-Benz Sprinter Sprinter 314 CDI tD FURGON MEDIO T.E. aut.","","9,0","10,0","237,0","263,0"
"Mercedes-Benz Sprinter Sprinter 314 CDI tD FURGON MEDIO T.E. man.","","9,1","10,1","240,0","266,0"
