"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"BMW Serie 2 220d Gran Coupé Auto.11/2019","","4,9","5,6","130,0","146,0"
"BMW Serie 2 220d Gran Tourer (6X31) Auto.07/2020","","5,3","5,6","140,0","148,0"
"BMW Serie 2 220d Gran Tourer (6X31)Auto.01/2021","","5,2","5,5","140,0","148,0"
"BMW Serie 2 220d Gran Tourer Auto.11/2019","","5,4","5,8","140,0","151,0"
"BMW Serie 2 220d xDrive Active Tourer (6U51) Auto.07/2020","","5,4","5,7","142,0","149,0"
"BMW Serie 2 220d xDrive Active Tourer (6U51)Auto.01/2021","","5,3","5,7","142,0","149,0"
"BMW Serie 2 220d xDrive Active Tourer Auto.11/2019","","5,5","5,8","143,0","152,0"
"BMW Serie 2 220d xDrive Gran Tourer (6X51)Auto.01/2021","","5,3","5,6","140,0","148,0"
"BMW Serie 2 220d xDrive Gran Tourer Auto.11/2019","","5,6","6,0","147,0","158,0"
"BMW Serie 2 220i (11CM) Auto. 07/2021","","6,3","6,8","142,0","155,0"
"BMW Serie 2 220i Active Tourer (6S31)Auto.01/2021","","6,0","6,3","139,0","148,0"
"BMW Serie 2 220i Active Tourer Auto.11/2019","","6,6","7,1","150,0","161,0"
"BMW Serie 2 220i Cabrio (2M31)Auto.01/2021","","7,6","8,0","171,0","182,0"
"BMW Serie 2 220i Cabrio Auto.11/2019","","7,6","8,2","174,0","187,0"
"BMW Serie 2 220i Coupé (2H51)Auto.01/2021","","7,2","7,6","161,0","173,0"
"BMW Serie 2 220i Coupé Auto.11/2019","","7,2","7,8","164,0","178,0"
"BMW Serie 2 220i Gran Co (31AK)Auto.01/2021","","6,0","6,8","135,0","153,0"
"BMW Serie 2 220i Gran Tourer (6V51)Auto.01/2021","","6,2","6,6","144,0","153,0"
"BMW Serie 2 220i Gran Tourer Auto.11/2019","","6,8","7,4","155,0","167,0"
"BMW Serie 2 225xe (6Y31)Auto.01/2021","","1,5","1,7","35,0","39,0"
"BMW Serie 2 225xe Active Tourer Auto.07/2020","","1,7","1,9","38,0","42,0"
"BMW Serie 2 225xe Auto.11/2019","","1,7","2,0","38,0","45,0"
"BMW Serie 2 230i Cabrio (2M51)Auto.01/2021","","7,6","8,0","172,0","183,0"
"BMW Serie 2 230i Cabrio Auto.11/2019","","7,7","8,3","176,0","188,0"
"BMW Serie 2 230i Coupé (2H71)Auto.01/2021","","7,2","7,6","162,0","174,0"
"BMW Serie 2 230i Coupé Auto.11/2019","","7,3","7,9","166,0","179,0"
"BMW Serie 2 M235i xDrive Gran Coupé (11AL)Auto.01/2021","","7,3","7,7","162,0","177,0"
"BMW Serie 2 M235i xDrive Gran Coupé Auto.11/2019","","7,6","8,3","172,0","188,0"
"BMW Serie 2 M240i Cabrio (2N11)Auto.01/2021","","8,6","8,7","196,0","199,0"
"BMW Serie 2 M240i Cabrio Auto.11/2019","","9,0","9,0","204,0","205,0"
"BMW Serie 2 M240i Coupé (2J51)Auto.01/2021","","8,3","8,4","188,0","191,0"
"BMW Serie 2 M240i Coupé Auto.11/2019","","8,7","8,7","197,0","198,0"
"BMW Serie 2 M240i xDrive (51CM) Auto. 07/2021","","8,1","8,8","185,0","200,0"
"BMW Serie 3 318d Berlina (5V31) Auto.07/2020","","4,8","5,6","117,0","139,0"
"BMW Serie 3 318d Berlina (5V31)Auto.01/2021","","4,5","5,3","117,0","139,0"
"BMW Serie 3 318d Berlina (5V31)Man.01/2021","","4,8","5,5","125,0","146,0"
"BMW Serie 3 318d Berlina Man.11/2019","","4,6","5,6","121,0","147,0"
"BMW Serie 3 318d Gran Turismo Man.11/2019","","5,9","6,4","154,0","168,0"
"BMW Serie 3 318d Touring (6L31) Auto.07/2020","","4,8","5,6","126,0","147,0"
"BMW Serie 3 318d Touring (6L31)Auto.01/2021","","4,8","5,6","126,0","147,0"
"BMW Serie 3 318d Touring (6L31)Man.01/2021","","5,2","5,8","134,0","153,0"
"BMW Serie 3 318d Touring Auto.11/2019","","5,3","6,0","138,0","157,0"
"BMW Serie 3 318d Touring Man.11/2019","","5,1","5,9","134,0","154,0"
"BMW Serie 3 320d Berlina (11DY) Auto.07/2020","","4,6","5,3","120,0","140,0"
"BMW Serie 3 320d Berlina (11DY)Auto.01/2021","","4,6","5,3","120,0","140,0"
"BMW Serie 3 320d Berlina Auto.11/2019","","5,0","5,5","130,0","143,0"
"BMW Serie 3 320d Gran Turismo Auto.11/2019","","5,8","6,3","152,0","165,0"
"BMW Serie 3 320d Gran Turismo Man.11/2019","","5,8","6,3","153,0","166,0"
"BMW Serie 3 320d Touring (11DZ) Auto.07/2020","","4,9","5,6","128,0","146,0"
"BMW Serie 3 320d Touring (11DZ)Auto.01/2021","","4,9","5,6","128,0","146,0"
"BMW Serie 3 320d Touring Auto.11/2019","","5,3","6,0","138,0","158,0"
"BMW Serie 3 320d xDrive  Gran Turismo Auto.11/2019","","6,2","6,7","163,0","177,0"
"BMW Serie 3 320d xDrive Berlina (31DY) Auto.07/2020","","4,9","5,7","128,0","148,0"
"BMW Serie 3 320d xDrive Berlina 48V (31DY)Auto.01/2021","","4,9","5,7","129,0","148,0"
"BMW Serie 3 320d xDrive Berlina Auto.11/2019","","5,3","5,8","138,0","152,0"
"BMW Serie 3 320d xDrive Touring (31DZ) Auto.07/2020","","5,1","5,9","134,0","155,0"
"BMW Serie 3 320d xDrive Touring 48V (31DZ)Auto.01/2021","","5,1","5,9","134,0","155,0"
"BMW Serie 3 320d xDrive Touring Auto.11/2019","","5,5","5,9","144,0","155,0"
"BMW Serie 3 320e Berlina (5Y91) Auto. 03/2021","","1,3","1,8","29,0","41,0"
"BMW Serie 3 320i Berlina (5F31) Auto.07/2020","","6,3","7,2","142,0","164,0"
"BMW Serie 3 320i Berlina (5F31)Auto.01/2021","","6,3","7,3","142,0","164,0"
"BMW Serie 3 320i Berlina Auto.11/2019","","6,3","7,0","143,0","158,0"
"BMW Serie 3 320i Gran Turismo Auto.11/2019","","7,7","8,3","175,0","188,0"
"BMW Serie 3 320i Touring (6K31)Auto.01/2021","","6,7","7,5","151,0","170,0"
"BMW Serie 3 320i Touring Auto.11/2019","","6,8","7,3","153,0","165,0"
"BMW Serie 3 330d Berlina (5X91)Auto.01/2021","","5,0","5,7","130,0","148,0"
"BMW Serie 3 330d Berlina Auto.11/2019","","5,7","6,1","148,0","160,0"
"BMW Serie 3 330d Gran Turismo Auto.11/2019","","6,7","7,3","176,0","192,0"
"BMW Serie 3 330d Touring (6M91)Auto.01/2021","","5,2","5,9","136,0","154,0"
"BMW Serie 3 330d Touring Auto.11/2019","","6,0","6,3","157,0","166,0"
"BMW Serie 3 330d xDrive (5Y11)Auto.01/2021","","5,3","6,0","138,0","157,0"
