"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Opel Astra 5P (MY21.0) GS Line 1.2T SHT MT6 S/S 130 CV (96kW)","","5,3","5,4","121,0","123,0"
"Opel Astra 5P (MY21.0) GS Line 1.5D DVC MT6 S/S 105 CV (77kW)","","4,4","4,4","114,0","116,0"
"Opel Astra 5P (MY21.0) GS Line 1.5D DVH MT6 S/S 122 CV (90kW)","","4,5","4,5","117,0","119,0"
"Opel Astra 5P (MY21.0) Ultimate 1.2T SHR MT6 S/S 145 CV (107kW)","","5,3","5,6","121,0","127,0"
"Opel Astra 5P (MY21.0) Ultimate 1.4T SHT CVT S/S 145 CV (107kW)","","5,8","6,2","131,0","141,0"
"Opel Astra 5P (MY21.0) Ultimate 1.5D DVH AT9 S/S 122 CV (90kW)","","5,1","5,3","133,0","139,0"
"Opel Astra 5P (MY21.0) Ultimate 1.5D DVH MT6 S/S 122 CV (90kW)","","4,5","4,7","117,0","122,0"
"Opel Astra ST (MY19.5) DYNAMIC 1,4 Turbo 125 cv 6V MY 19,5","","6,1","7,0","140,0","160,0"
"Opel Astra ST (MY19.5) DYNAMIC 1,4 Turbo 150 cv 6V MY 19,5","","6,1","6,8","140,0","155,0"
"Opel Astra ST (MY19.5) DYNAMIC 1,6 CDTi S/S 110 cv 6V MY 19,5","","4,7","5,5","124,0","145,0"
"Opel Astra ST (MY19.5) DYNAMIC 1,6 Turbo S/S 200 cv 6V MY 19,5","","6,8","7,4","154,0","167,0"
"Opel Astra ST (MY19.5) INNOVATION 1,4 Turbo 150 cv 6V MY 19,5","","6,1","6,8","140,0","155,0"
"Opel Astra ST (MY19.5) INNOVATION 1,4 Turbo S/S 150 cv AUT MY 19,5","","6,5","7,7","149,0","175,0"
"Opel Astra ST (MY19.5) INNOVATION 1,6 CDTi S/S 136 cv 6V MY 19,5","","4,8","5,6","127,0","147,0"
"Opel Astra ST (MY19.5) INNOVATION 1,6 CDTi S/S 136 cv AUT MY 19,5","","5,3","6,1","141,0","162,0"
"Opel Astra ST (MY19.5) INNOVATION 1,6 Turbo S/S 200 cv 6V MY 19,5","","6,8","7,4","154,0","167,0"
"Opel Astra ST (MY19.5) INNOVATION 1.6 T S/S 136 cv 6V MY 19,5","","7,5","7,9","170,0","179,0"
"Opel Astra ST (MY19.5) INNOVATION 1.6 T S/S 136 cv 6V MY19,5","","7,5","7,9","170,0","179,5"
"Opel Astra ST (MY19.5) INNOVATION 1.6 T S/S 136 cv AUT MY 19,5","","8,0","8,7","186,0","198,0"
"Opel Astra ST (MY19.5) INNOVATION 1.6 T S/S 136 cv AUT MY19,5","","8,0","8,7","186,2","198,5"
"Opel Astra ST (MY19.5) SELECTIVE 1,4 Turbo 125 cv 6V MY 19,5","","6,1","7,0","140,0","160,0"
"Opel Astra ST (MY19.5) SELECTIVE 1,6 CDTi S/S 110 cv 6V MY 19,5","","4,7","5,5","124,0","145,0"
