"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 4750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 5100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G Paso 4750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G Paso 5100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G/P Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G/P Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G/P Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G/P Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G/P Paso 4750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14G/P Paso 5100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 35 C 14 A8 N D Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 35 C 14 A8 N D/P Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 35 C 14 N D Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 35 C 14 N D/P Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 40 C 14 A8 N D Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 40 C 14 A8 N D/P Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 40 C 14 N D Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 40 C 14 N D/P Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 50 C 14 A8 N D Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 50 C 14 A8 N D/P Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 50 C 14 A8 Z N D Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 50 C 14 A8 Z N D/P Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 50 C 14 N D Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 50 C 14 N D/P Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 50 C 14 Z N D Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 50 C 14 Z N D/P Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 65 C 14 A8 N D Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 65 C 14 A8 N D/P Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 65 C 14 N D Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 65 C 14 N D/P Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 70 C 14 A8 G D Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 70 C 14 A8 G D/P Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 70 C 14G D Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab Doble 70 C 14G D/P Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Frontis Daily 70C 14 Paso 3750; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Frontis Daily 70C 14 Paso 3750; Cambio Manual","","0,0","0,0","0,0","0,0"
