"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco STRALIS AD260S33Y/PS GNC Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 5100; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 6050; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 6050; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4200; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4200; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4500; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4500; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4800; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 5100; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 6050; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 6050; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD440S33T/P CNG Paso 3800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S40T/P C-LNG Paso 3800; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S40T/P CNG Paso 3800; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S40T/P LNG Paso 3800; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S46T/FP-LT LNG Paso 3650; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S46T/FP-LT LNG Paso 3800;Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S46T/P C-LNG Paso 3800; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S46T/P CNG Paso 3800; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S46T/P LNG Paso 3800; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S46TX/P C-LNG Paso 4000; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S46TX/P CNG Paso 4000; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S46TX/P LNG Paso 4000; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT190S33/P GNC Paso 5700; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT190S33/P GNL Paso 5700; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT190S33/P GNL Paso 5700; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT260S33Y/FS D GNC Paso 6050; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT260S33Y/FS D GNC Paso 6050; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT260S33Y/PS GNC Paso 4800; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT260S33Y/PS GNC Paso 4800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT260S33Y/PS GNC Paso 5700; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT260S33Y/PS GNC Paso 6050; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT260S33Y/PS GNC Paso 6050; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT260S33Y/PS GNL Paso 6050; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT260S33Y/PS GNL Paso 6050; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AT440S33T/P CNG Paso 3800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Urbanway BG0 Paso 4590; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Urbanway BG2 Paso 6120; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Urbanway BG8 Paso 12030; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Urbanway CG2 Paso 6120; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Urbanway CG8 Paso 12030; Cambio Automático","","0,0","0,0","0,0","0,0"
