"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Maserati LEVANTE TROFEO (5HAP) M156 1H4 5HAP","","0,0","0,0","0,0","0,0"
"Maserati LEVANTE TROFEO (5HAP1) M156 1H4 5HAP1","","13,8","14,7","311,0","332,0"
"Maserati LEVANTE TROFEO (5HAP1L) M156 1H4 5HAP1L","","13,8","14,7","311,0","332,0"
"Maserati MC20 M240","","11,5","11,5","261,0","261,0"
"Maserati QUATTROPORTE (4AP) M156 6F2 4AP","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE (4AP1) M156 6F2 4AP1","","10,5","11,3","238,0","257,0"
"Maserati QUATTROPORTE (5AP) M156 6F2 5AP","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE (5AP1) M156 6F2 5AP1","","10,5","11,3","238,0","257,0"
"Maserati QUATTROPORTE DIESEL (4HADG) M156 6D2 4HADG","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE DIESEL (4LADG) M156 6D2 4LADG","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE DIESEL (5HADG) M156 6D2 5HADG","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE DIESEL (5LADG) M156 6D2 5LADG","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE GT (4AP1L) M156 6F2 4AP1L","","10,5","11,3","238,0","257,0"
"Maserati QUATTROPORTE GT (5AP1L) M156 6F2 5AP1L","","10,5","11,3","238,0","257,0"
"Maserati QUATTROPORTE MODENA (4AP1L) M156 6E2 4AP1L","","10,5","11,3","238,0","257,0"
"Maserati QUATTROPORTE MODENA (5AP1L) M156 6E2 5AP1L","","10,5","11,3","238,0","257,0"
"Maserati QUATTROPORTE MODENA Q4 (4AP1L) M156 6E4 4AP1L","","10,9","11,9","247,0","269,0"
"Maserati QUATTROPORTE MODENA Q4 (5AP1L) M156 6E4 5AP1L","","10,9","11,9","247,0","269,0"
"Maserati QUATTROPORTE S (4AP) M156 6E2 4AP","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE S (4AP1) M156 6E2 4AP1","","10,5","11,3","238,0","257,0"
"Maserati QUATTROPORTE S (5AP) M156 6E2 5AP","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE S (5AP1) M156 6E2 5AP1","","10,5","11,3","238,0","257,0"
"Maserati QUATTROPORTE S Q4 (4AP) M156 6E4 4AP","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE S Q4 (4AP1) M156 6E4 4AP1","","10,9","11,9","247,0","269,0"
"Maserati QUATTROPORTE S Q4 (5AP) M156 6E4 5AP","","0,0","0,0","0,0","0,0"
"Maserati QUATTROPORTE S Q4 (5AP1) M156 6E4 5AP1","","10,9","11,9","247,0","269,0"
"Maserati QUATTROPORTE TROFEO (4HAP) M156 6H2 4HAP","","12,2","12,5","276,0","282,0"
"Maserati QUATTROPORTE TROFEO (5HAP) M156 6H2 5HAP","","12,2","12,5","276,0","282,0"
"MAXUS Deliver 9 L1H1","","8,0","10,5","210,0","274,0"
"MAXUS Deliver 9 L1H2","","8,1","10,7","213,0","279,0"
"MAXUS Deliver 9 L2H2","","8,2","10,7","214,0","281,0"
"MAXUS Deliver 9 L3 Chasis","","10,2","11,7","238,0","304,0"
"MAXUS Deliver 9 L3H2","","8,1","10,7","213,0","279,0"
"MAXUS Deliver 9 L3H2 RWD","","8,6","11,2","228,0","292,0"
