"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Hyundai TUCSON FL TUCSON FL CRDI 1.6 136CV DT 48V STYLE RE","","5,6","5,6","148,0","148,0"
"Hyundai TUCSON FL TUCSON FL CRDI 1.6 136CV DT 48V TECNOSS","","5,7","5,7","148,0","148,0"
"Hyundai TUCSON FL TUCSON FL CRDI 1.6 136CV4X4 TRAIN CC NAV","","6,4","6,4","167,0","167,0"
"Hyundai TUCSON FL TUCSON FL CRDI 2.0 185CV 48V 4X4 AT TECNO","","6,9","6,9","180,0","180,0"
"Hyundai TUCSON FL TUCSON FL CRDI 2.0 185CV 4X4AT 48V STYLE","","6,9","6,9","180,0","180,0"
"Hyundai TUCSON FL TUCSON FL CRDI 2.0 185CV4X4 AT48V NLINE","","6,8","6,8","178,0","178,0"
"Hyundai TUCSON FL TUCSON FL CRDI2.0 185CV 4X4AT48V NLINEX","","6,9","6,9","180,0","180,0"
"Hyundai TUCSON FL TUCSON FL CRDI2.0 185CV 4X4AT48V SLE","","6,5","6,5","171,0","171,0"
"Hyundai TUCSON FL TUCSON FL CRDI2.0 185CV 4X4AT48V STYLERE","","6,9","6,9","180,0","180,0"
"Hyundai TUCSON FL TUCSON FL CRDI2.0 186CV48V 4X4AT STYLE","","6,9","6,9","181,0","181,0"
"Hyundai TUCSON FL TUCSON FL CRDI2.0 186CV48V 4X4AT STYLE GREY","","6,9","6,9","181,0","181,0"
"Hyundai TUCSON FL TUCSON FL CRDI2.0 186CV48V 4X4AT STYLE RED","","6,9","6,9","181,0","181,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131 CV 4X2 ESSENCE","","7,9","7,9","180,0","180,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131 CV 4X2 ESSENCE BE","","7,9","7,9","180,0","180,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131 CV 4X2 KLASS","","8,1","8,1","183,0","183,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131 CV 4X2 KLASS BE","","7,9","7,9","180,0","180,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131 CV 4X2 TECNO","","8,1","8,1","184,0","184,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131 CV TECNO","","8,1","8,1","184,0","184,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131 CV TECNO SAFE","","8,1","8,1","184,0","184,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131cv 4x2  SE 2019","","7,9","7,9","180,0","180,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131CV 4X2 TECNO SAFE","","8,1","8,1","184,0","184,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131CV NLINE LITE","","7,8","7,8","178,0","178,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131CV SLE","","7,9","7,9","180,0","180,0"
"Hyundai TUCSON FL TUCSON FL GDI 1.6 131CV TECNO","","8,1","8,1","184,0","184,0"
"Hyundai TUCSON FL TUCSON FL TGDI 1.6 177 CV 4X2 DCT TECNO","","7,8","7,8","178,0","178,0"
"Hyundai TUCSON FL TUCSON FL TGDI 1.6 177 CV 4X2 DCT TECNO SKY SAFE","","7,9","7,9","179,0","179,0"
"Hyundai TUCSON FL TUCSON FL TGDI 1.6 177 CV 4X2 KLASS","","8,1","8,1","183,0","183,0"
"Hyundai TUCSON FL TUCSON FL TGDI 1.6 177 CV 4X2 TECNO","","8,1","8,1","184,0","184,0"
"Hyundai TUCSON FL TUCSON FL TGDI 1.6 177 CV 4X2 TECNO SKY SAFE","","8,1","8,1","184,0","184,0"
"Hyundai TUCSON FL TUCSON FL TGDI 1.6 177 CV DT TECNO","","7,8","7,8","178,0","178,0"
