"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Mercedes-Benz Clase E Estate (S213) 300 de","","1,3","1,4","35,0","38,0"
"Mercedes-Benz Clase E Estate (S213) 300 de 4MATIC","","1,4","1,5","37,0","40,0"
"Mercedes-Benz Clase E Estate (S213) 300 e","","1,7","1,9","39,0","43,0"
"Mercedes-Benz Clase E Estate (S213) 400 d 4MATIC","","6,8","7,6","179,0","199,0"
"Mercedes-Benz Clase E Estate (S213) 400 d 4MATIC All-Terrain","","7,3","7,6","191,0","201,0"
"Mercedes-Benz Clase E Estate (S213) 450 4MATIC","","8,4","9,4","192,0","214,0"
"Mercedes-Benz Clase E Estate (S213) 53 4MATIC+","","9,5","9,7","215,0","221,0"
"Mercedes-Benz Clase E Estate (S213) 63 S 4MATIC+","","12,2","12,6","277,0","286,0"
"Mercedes-Benz Clase G (W463) 350 d","","10,8","11,0","283,0","288,0"
"Mercedes-Benz Clase G (W463) 400 d","","10,8","11,0","283,0","288,0"
"Mercedes-Benz Clase G (W463) 500","","14,9","15,3","339,0","348,0"
"Mercedes-Benz Clase G (W463) 63","","16,4","16,4","373,0","373,0"
"Mercedes-Benz Clase S Berlina Corta (W223) 350 d","","6,6","7,6","172,0","200,0"
"Mercedes-Benz Clase S Berlina Corta (W223) 350 d 4MATIC","","6,7","7,9","176,0","207,0"
"Mercedes-Benz Clase S Berlina Corta (W223) 400 d 4MATIC","","6,7","7,9","177,0","207,0"
"Mercedes-Benz Clase S Berlina Corta (W223) 500 4MATIC","","8,2","9,5","186,0","216,0"
"Mercedes-Benz Clase S Berlina Larga (V223) 350 d","","6,6","7,7","173,0","202,0"
"Mercedes-Benz Clase S Berlina Larga (V223) 350 d 4MATIC","","6,8","8,0","177,0","209,0"
"Mercedes-Benz Clase S Berlina Larga (V223) 400 d 4MATIC","","6,8","8,0","177,0","210,0"
"Mercedes-Benz Clase S Berlina Larga (V223) 500 4MATIC","","8,2","9,6","187,0","218,0"
"Mercedes-Benz Clase V Clase V 220d Avantgarde Compacto 3100","","7,2","7,9","188,0","208,0"
"Mercedes-Benz Clase V Clase V 220d Avantgarde Compacto 3200","","8,0","8,8","208,0","230,0"
"Mercedes-Benz Clase V Clase V 220d Avantgarde Extralargo 3100","","7,3","8,1","190,0","211,0"
"Mercedes-Benz Clase V Clase V 220d Avantgarde Extralargo 3200","","7,3","8,1","190,0","213,0"
"Mercedes-Benz Clase V Clase V 220d Avantgarde Largo 3100","","7,2","8,0","189,0","211,0"
"Mercedes-Benz Clase V Clase V 220d Avantgarde Largo 3200","","7,2","8,1","189,0","212,0"
"Mercedes-Benz Clase V Clase V 220d Compacto 3100","","7,0","8,0","183,0","209,0"
"Mercedes-Benz Clase V Clase V 220d Compacto 3200","","7,9","8,8","207,0","231,0"
