"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Porsche 911 Carrera 4S Coupé, auto.","","10,3","11,3","233,0","257,0"
"Porsche 911 Carrera 4S Coupé, man.","","9,9","11,0","225,0","250,0"
"Porsche 911 Carrera GTS Cabrio","","10,2","11,0","231,0","250,0"
"Porsche 911 Carrera GTS Cabrio","","10,5","11,5","238,0","260,0"
"Porsche 911 Carrera GTS Coupé","","10,2","11,0","231,0","250,0"
"Porsche 911 Carrera GTS Coupé","","10,5","11,5","238,0","260,0"
"Porsche 911 Carrera S Cabrio, auto.","","10,2","11,2","232,0","254,0"
"Porsche 911 Carrera S Cabrio, man.","","9,9","10,9","224,0","246,0"
"Porsche 911 Carrera S Coupé, auto.","","10,2","11,2","232,0","254,0"
"Porsche 911 Carrera S Coupé, man.","","9,9","10,9","224,0","246,0"
"Porsche 911 GT3 Automático","","13,0","13,0","294,0","294,0"
"Porsche 911 GT3 Manual","","12,9","12,9","293,0","293,0"
"Porsche 911 Targa 4 Cabrio","","10,1","11,1","228,0","251,0"
"Porsche 911 Targa 4 GTS Cabrio","","10,4","11,3","235,0","255,0"
"Porsche 911 Targa 4 GTS Cabrio","","10,5","11,6","239,0","262,0"
"Porsche 911 Targa 4S Cabrio, automático","","10,3","11,3","233,0","257,0"
"Porsche 911 Targa 4S Cabrio, manual","","9,9","11,0","225,0","250,0"
"Porsche 911 Turbo Cabrio","","11,6","12,5","262,0","284,0"
"Porsche 911 Turbo Coupé","","11,6","12,5","262,0","284,0"
"Porsche 911 Turbo S Cabrio","","11,6","12,5","262,0","284,0"
"Porsche 911 Turbo S Coupé","","11,6","12,5","262,0","284,0"
"Porsche Cayenne Coupé","","11,1","12,5","252,0","283,0"
"Porsche Cayenne E-Hybrid Coupé","","2,9","3,8","67,0","86,0"
"Porsche Cayenne E-Hybrid SUV","","2,9","3,8","67,0","86,0"
"Porsche Cayenne GTS Coupé","","12,8","14,4","291,0","327,0"
"Porsche Cayenne GTS SUV","","12,8","14,4","291,0","327,0"
"Porsche Cayenne S Coupé","","11,5","12,9","260,0","292,0"
"Porsche Cayenne S SUV","","11,5","12,9","260,0","292,0"
"Porsche Cayenne SUV","","11,1","12,5","252,0","283,0"
"Porsche Cayenne Turbo Coupé","","13,4","14,0","304,0","319,0"
"Porsche Cayenne Turbo GT Coupé","","13,2","14,1","300,0","319,0"
"Porsche Cayenne Turbo S Hybrid Coupé","","3,6","4,1","82,0","93,0"
"Porsche Cayenne Turbo S Hybrid SUV","","3,6","4,1","82,0","93,0"
"Porsche Cayenne Turbo SUV","","13,2","14,1","300,0","319,0"
"Porsche Macan 2.0 l","","9,8","11,0","221,0","250,0"
"Porsche Macan GTS Automático","","10,8","11,9","244,0","270,0"
"Porsche Macan S Automático","","10,2","11,8","230,0","267,0"
"Porsche Macan Turbo Automático","","11,0","12,0","248,0","271,0"
"Porsche Panamera 4 Berlina","","10,2","11,5","232,0","260,0"
"Porsche Panamera 4 E-Hybrid Berlina","","2,1","2,5","47,0","56,0"
"Porsche Panamera 4 E-Hybrid Executive","","2,1","2,5","47,0","56,0"
"Porsche Panamera 4 E-Hybrid Sport Turismo","","2,1","2,5","47,0","56,0"
"Porsche Panamera 4 Executive","","10,2","11,5","232,0","260,0"
"Porsche Panamera 4 Sport Turismo","","10,2","11,5","232,0","260,0"
"Porsche Panamera 4S Berlina","","10,2","11,5","231,0","260,0"
"Porsche Panamera 4S E-Hybrid Berlina","","2,1","3,0","47,0","69,0"
"Porsche Panamera 4S E-Hybrid Executive","","2,1","3,0","47,0","69,0"
"Porsche Panamera 4S E-Hybrid Sport Turismo","","2,1","3,0","47,0","69,0"
"Porsche Panamera 4S Executive","","10,2","11,5","231,0","260,0"
"Porsche Panamera 4S Sport Turismo","","10,2","11,5","231,0","260,0"
"Porsche Panamera Berlina","","10,0","11,4","227,0","258,0"
"Porsche Panamera GTS Berlina","","12,0","13,2","271,0","300,0"
"Porsche Panamera GTS Sport Turismo","","12,0","13,2","271,0","300,0"
"Porsche Panamera Turbo S Berlina","","12,5","13,3","284,0","302,0"
"Porsche Panamera Turbo S E-Hybrid Berlina","","1,0","3,1","58,0","71,0"
"Porsche Panamera Turbo S E-Hybrid Executive","","1,0","3,1","58,0","71,0"
"Porsche Panamera Turbo S E-Hybrid Sport Turismo","","1,0","3,1","58,0","71,0"
