"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"DAYANG E-VIBALL DY3000DT","","0,0","0,0","0,0","0,0"
"DAYI MOTOR E-ODIN 2","","0,0","0,0","0,0","0,0"
"DFSK 580 1.5 146 CV","","9,0","13,0","203,0","287,0"
"DFSK EC35 T2","","0,0","0,0","0,0","0,0"
"DFSK EC35 T4","","0,0","0,0","0,0","0,0"
"DFSK F5 1.5 137 CV","","10,0","15,0","233,0","349,0"
"DFSK K01 K01H","","0,0","0,0","0,0","0,0"
"DFSK K01 PICK UP K01HE","","0,0","0,0","0,0","0,0"
"DFSK K01 PICK UP K01HE Basculante","","0,0","0,0","0,0","0,0"
"DFSK K02 PICK UP K02E","","0,0","0,0","0,0","0,0"
"DFSK K02 PICK UP K02E Basculante","","0,0","0,0","0,0","0,0"
"DFSK SERES 3 S1","","0,0","0,0","0,0","0,0"
"DFSK SERES 3 S2","","0,0","0,0","0,0","0,0"
"DOFERN D1 DF02 (3000W)","","0,0","0,0","0,0","0,0"
"DOFERN D1 DF02 (5000)","","0,0","0,0","0,0","0,0"
"DS DS 3 CROSSBACK BlueHDi 100 Manual","","4,5","5,2","115,9","136,3"
"DS DS 3 CROSSBACK BlueHDi 110 Manual","","4,3","4,9","113,0","129,0"
"DS DS 3 CROSSBACK BlueHDi 130 Automático","","4,5","5,1","119,0","134,0"
"DS DS 3 CROSSBACK BlueHDi 130 Automático 6.3","","4,5","5,1","119,0","134,0"
"DS DS 3 CROSSBACK E-TENSE","","0,0","0,0","0,0","0,0"
"DS DS 3 CROSSBACK PureTech 100 Manual","","5,4","6,1","121,4","139,0"
"DS DS 3 CROSSBACK PureTech 130 Automático","","6,0","6,7","135,7","151,7"
"DS DS 3 CROSSBACK PureTech 155 Automático","","6,1","6,8","137,1","153,2"
"DS DS 4 BLUEHDI 130","","4,2","5,4","121,0","134,0"
"DS DS 4 E-TENSE 225","","1,3","1,4","29,0","32,0"
"DS DS 4 PURETECH 130","","5,6","6,6","124,0","146,0"
"DS DS 4 PURETECH 180","","5,9","7,1","138,0","157,0"
"DS DS 4 PURETECH 225","","6,1","7,3","140,0","159,0"
"DS DS 7 CROSSBACK BlueHDi 130 Automático","","5,0","5,8","130,0","153,0"
"DS DS 7 CROSSBACK BlueHDi 130 Automático 6.3","","5,0","5,8","130,0","153,0"
"DS DS 7 CROSSBACK BlueHDi 130 Manual","","5,4","5,8","140,7","152,1"
"DS DS 7 CROSSBACK BlueHDi 180 Automático","","5,5","7,6","153,7","174,6"
"DS DS 7 CROSSBACK E-TENSE 225","","1,4","1,6","31,0","36,0"
"DS DS 7 CROSSBACK E-TENSE 4x4","","1,3","1,6","30,0","36,0"
"DS DS 7 CROSSBACK PureTech 130 Automático","","6,5","7,1","144,9","167,2"
"DS DS 7 CROSSBACK PureTech 130 Manual","","6,1","6,7","138,5","151,0"
"DS DS 7 CROSSBACK PureTech 180 Automático","","6,7","7,8","152,3","176,2"
"DS DS 7 CROSSBACK PureTech 225 Automático","","7,0","7,8","157,2","176,9"
"DS DS 9 E-TENSE 225","","1,5","1,6","33,0","36,0"
"DS DS 9 PureTech 225 Automático","","6,5","7,2","146,4","161,9"
"E-Fun Puma Maxi 0,1","","0,0","0,0","0,0","0,0"
"E-MAX VS1 1","","0,0","0,0","0,0","0,0"
"EBROH Bravo GLE Motocicleta Naked","","0,0","0,0","0,0","0,0"
"EBROH Bravo GLS Motocicleta Naked","","0,0","0,0","0,0","0,0"
"EBROH Spuma Li 5K Cargo Delivery","","0,0","0,0","0,0","0,0"
"EBROH Spuma Li 5K Scooter","","0,0","0,0","0,0","0,0"
"EBROH Strada 20 th Maxiscooter","","0,0","0,0","0,0","0,0"
"EBROH Strada 20 th XT Maxiscooter","","0,0","0,0","0,0","0,0"
"EBROH Strada Mak 10 Maxiscooter","","0,0","0,0","0,0","0,0"
"EBROH Veracruz 5K Scooter","","0,0","0,0","0,0","0,0"
"Ecooter E1R TDZ11701MZ-8","","0,0","0,0","0,0","0,0"
"Ecooter E2M TDU11907MZ2","","0,0","0,0","0,0","0,0"
"Ecooter E2R TDU11907MZ2","","0,0","0,0","0,0","0,0"
"EDOM CAR Street 100% Electric","","0,0","0,0","0,0","0,0"
"EDOM CAR Street Cargo 100% Electric","","0,0","0,0","0,0","0,0"
"EFUN LIPO70","","0,0","0,0","0,0","0,0"
"EFUN M6","","0,0","0,0","0,0","0,0"
"EFUN PUMA 9KW","","0,0","0,0","0,0","0,0"
"EFUN PUSA90","","0,0","0,0","0,0","0,0"
"EFUN PUSA90 2020","","0,0","0,0","0,0","0,0"
"EFUN PUSA90 A","","0,0","0,0","0,0","0,0"
"EFUN TIGER 100","","0,0","0,0","0,0","0,0"
"EKOe M5 Green Road FCM5/0/0","","0,0","0,0","0,0","0,0"
"ELECTRIC MOTION EPURE lite 01","","0,0","0,0","0,0","0,0"
"ELECTRIC MOTION EPURE Race 1","","0,0","0,0","0,0","0,0"
"ELECTRIC MOTION EPURE sport 1","","0,0","0,0","0,0","0,0"
"ELECTRIC MOTION ESCAPE 1","","0,0","0,0","0,0","0,0"
"ELECTRIC MOTION ESCAPE lite 1","","0,0","0,0","0,0","0,0"
"ELECTRIC MOTION ESCAPE R 1","","0,0","0,0","0,0","0,0"
"Elektra Bikes CityStar C5","","0,0","0,0","0,0","0,0"
"Elektra Bikes DeliRoad D8","","0,0","0,0","0,0","0,0"
"Esagono Energia Gastone CAJA CERRADA CORTA","","0,0","0,0","0,0","0,0"
"Esagono Energia Gastone CAJA CERRADA LARGA","","0,0","0,0","0,0","0,0"
"Esagono Energia Gastone PICK UP CORTO","","0,0","0,0","0,0","0,0"
"Esagono Energia Gastone PICK UP LARGO","","0,0","0,0","0,0","0,0"
"Estrima Birò","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS EDAIN EDM4Te3200115060","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS EDAIN EDM4Te3200115066","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS EPONA EPM1De350055110","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS EPONA EPM1De350074110","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS FEBRIS FEM1De350055110","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS FEBRIS FEM1De350074110","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS PANACEA PAM1De350055110","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS PANACEA PAM1De350074110","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS PANACEA ROLLIBOX PRM1De350055110","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS PANACEA ROLLIBOX PRM1De350074110","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS SIRONA SIM1De350055110","","0,0","0,0","0,0","0,0"
"EUROGAZA EMERGENCIAS SIRONA SIM1De350074110","","0,0","0,0","0,0","0,0"
"Fiat 500 500 1.2 8v 51KW (69 CV) GLP","","8,1","8,5","131,0","137,0"
"Fiat 500 500 Collezione 1.2 8v 51KW (69 CV)","","6,1","6,8","137,0","155,0"
"Fiat 500 500 Collezione Fall 1.2 8v 51KW (69 CV)","","6,1","6,8","137,0","155,0"
"Fiat 500 500 Launch Edition 1.0 Bz 6v BSG 52 KW (70 CV) - MY20","","5,3","5,5","120,0","124,0"
"Fiat 500 500 Launch Edition 1.0 Bz 6v Hybrid 52 KW (70 CV) - MY20","","5,3","5,5","120,0","124,0"
"Fiat 500 500 Lounge 0.9 63KW (85 CV)","","5,5","5,9","123,0","131,0"
"Fiat 500 500 Lounge 1.0 Bz 6v BSG 52 KW (70 CV) - MY20","","5,3","5,4","119,0","122,0"
"Fiat 500 500 Lounge 1.0 Bz 6v Hybrid 52 KW (70 CV) - MY20","","5,3","5,4","119,0","122,0"
"Fiat 500 500 Lounge 1.2 8v 51KW (69 CV)","","6,1","6,8","137,0","155,0"
"Fiat 500 500 Mirror 1.2 8v 51KW (69 CV)","","6,1","6,8","137,0","155,0"
"Fiat 500 500 Pop 1.0 Bz 6v BSG 52 KW (70 CV) - MY20","","5,3","5,5","119,0","123,0"
"Fiat 500 500 Pop 1.0 Bz 6v Hybrid 52 KW (70 CV) - MY20","","5,3","5,5","119,0","123,0"
