"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Toyota PROACE VERSO EV Family medio Advance 50kW (MY21)","","0,0","0,0","0,0","0,0"
"Toyota PROACE VERSO EV Family medio Advance/Advance plus 75kW (MY21)","","0,0","0,0","0,0","0,0"
"Toyota PROACE VERSO EV Shuttle largo VX 50kW (MY21)","","0,0","0,0","0,0","0,0"
"Toyota PROACE VERSO EV Shuttle largo VX 75kW (MY21)","","0,0","0,0","0,0","0,0"
"Toyota PROACE VERSO EV Shuttle medio VX 50kW (MY21)","","0,0","0,0","0,0","0,0"
"Toyota PROACE VERSO EV Shuttle medio VX 75kW (MY21)","","0,0","0,0","0,0","0,0"
"Toyota PROACE VERSO Family corto advance Llanta 17p (MY21)","","6,1","6,9","159,3","181,1"
"Toyota PROACE VERSO Family corto Llanta 17p (MY20)","","6,0","7,0","157,0","185,0"
"Toyota PROACE VERSO Family largo advance Llanta 17p (MY21)","","6,7","7,7","174,4","202,6"
"Toyota PROACE VERSO Family largo advance Llanta 17p (MY21)","","6,8","7,9","177,4","206,0"
"Toyota PROACE VERSO Family largo advance plus Llanta 17p (MY21)","","6,8","7,9","177,4","206,0"
"Toyota PROACE VERSO Family largo advance plus Llanta 17p (MY21)","","6,7","7,8","175,8","204,5"
"Toyota PROACE VERSO Family largo Llanta 17p (MY20)","","6,7","7,8","177,0","205,0"
"Toyota PROACE VERSO Family largo Llanta 17p (MY20)","","7,0","8,0","182,0","209,0"
"Toyota PROACE VERSO Family medio advance Llanta 17p (MY21)","","6,1","6,9","159,3","181,1"
"Toyota PROACE VERSO Family medio advance Llanta 17p (MY21)","","6,7","7,7","174,4","202,6"
"Toyota PROACE VERSO Family medio advance Llanta 17p (MY21)","","6,8","7,9","177,4","206,0"
"Toyota PROACE VERSO Family medio advance plus Llanta 17p (MY21)","","6,8","7,9","177,4","206,0"
"Toyota PROACE VERSO Family medio advance plus Llanta 17p (MY21)","","6,7","7,7","174,4","202,6"
"Toyota PROACE VERSO Family medio advance plus Llanta 17p (MY21)","","6,7","7,8","175,8","204,5"
"Toyota PROACE VERSO Family medio Llanta 17p (MY20)","","6,0","7,0","157,0","185,0"
