"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Nissan JUKE N-DESIGN  1.0 DIG-T 84kW (114CV) E6D-Full 6MT","","6,2","6,2","140,8","140,8"
"Nissan JUKE N-DESIGN 1.0 DIG-T 84kW (114CV) E6D-Full DCT","","6,4","6,4","144,4","145,0"
"Nissan JUKE TEKNA  1.0 DIG-T 84kW (114CV) E6D-Full 6MT","","6,2","6,2","139,2","139,2"
"Nissan JUKE TEKNA 1.0 DIG-T 84kW (114CV) E6D-Full DCT","","6,3","6,3","142,8","142,8"
"Nissan JUKE VISIA 1.0 DIG-T 84kW (114CV) E6D-Full 6MT","","5,9","5,9","133,7","133,7"
"Nissan LEAF 40kWh 2.ZERO","","0,0","0,0","0,0","0,0"
"Nissan LEAF 40kWh Access","","0,0","0,0","0,0","0,0"
"Nissan LEAF 40kWh Acenta","","0,0","0,0","0,0","0,0"
"Nissan LEAF 40kWh Comercial","","0,0","0,0","0,0","0,0"
"Nissan LEAF 40kWh N-Connecta","","0,0","0,0","0,0","0,0"
"Nissan LEAF 40kWh Tekna","","0,0","0,0","0,0","0,0"
"Nissan LEAF 40kWh Visia","","0,0","0,0","0,0","0,0"
"Nissan LEAF 62kWh e+ Acenta","","0,0","0,0","0,0","0,0"
"Nissan LEAF 62kWh e+ N-Connecta","","0,0","0,0","0,0","0,0"
"Nissan LEAF 62kWh e+ Tekna","","0,0","0,0","0,0","0,0"
"Nissan Micra 1.0G 52 kW (70 CV) Acenta","","6,1","6,1","139,0","139,0"
"Nissan Micra 1.0G 52 kW (70 CV) Visia+","","6,1","6,1","139,0","139,0"
"Nissan Micra 1.0G 52kW (70cv) E6C Visia+","","6,1","6,1","139,0","139,0"
"Nissan Micra 1.5dCi 66 kW (90 CV) S&S Acenta","","5,4","5,4","141,0","141,0"
"Nissan Micra 1.5dCi 66 kW (90 CV) S&S N-Connecta","","5,4","5,4","141,0","141,0"
"Nissan Micra 1.5dCi 66 kW (90 CV) S&S Tekna","","5,4","5,4","141,0","141,0"
"Nissan Micra 1.5dCi 66 kW (90 CV) S&S Visia+","","5,4","5,4","141,0","141,0"
"Nissan Micra Acenta 1.0 IG-T 68kW (92 CV) S&S E6D-Full 5MT","","5,5","5,5","124,4","124,4"
"Nissan Micra Acenta 1.0 IG-T 68kW (92 CV) S&S E6D-Full CVT","","6,2","6,2","140,0","140,0"
"Nissan Micra DIG-T 86 kW (117 CV) E6D S&S Energy Touch","","5,9","5,9","133,0","133,0"
"Nissan Micra DIG-T 86 kW (117 CV) E6D S&S Lifestyle","","5,9","5,9","133,0","133,0"
