"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Hyundai S.FE TM HEV TGDI 1.6 230CV AT TECNO","","6,7","6,7","153,0","153,0"
"Hyundai S.FE TM PHEV TGDI 1.6 265CV 4X4 AT MAXX","","1,6","1,6","37,0","37,0"
"Hyundai S.FE TM PHEV TGDI 1.6 265CV 4X4 AT STYLE","","1,6","1,6","37,0","37,0"
"Hyundai S.FE TM PHEV TGDI 1.6 265CV 4X4 AT TECNO","","1,6","1,6","37,0","37,0"
"Hyundai S.FE TM S.FE TM CRDI 2.2 200CV 4X4 DCT STYLE","","6,9","6,9","180,0","180,0"
"Hyundai S.FE TM S.FE TM CRDI 2.2 200CV 4X4 DCT TECNO","","6,8","6,8","179,0","179,0"
"Hyundai Santa Fe TM S. FE TM CRDI 2.0 150CV ESSENCE DK","","6,5","6,5","172,0","172,0"
"Hyundai Santa Fe TM S. FE TM CRDI 2.0 150CV ESSENCE SR","","6,5","6,5","172,0","172,0"
"Hyundai Santa Fe TM S. FE TM GDI 2.4 184CV 4X4 AT TECNO SR","","10,0","10,0","228,0","228,0"
"Hyundai Santa Fe TM S.FE TM CRDI 2.0 150cv ESSENCE DK","","6,4","6,4","168,0","168,0"
"Hyundai Santa Fe TM S.FE TM CRDI 2.0 150cv ESSENCE SR","","6,4","6,4","168,0","168,0"
"Hyundai Santa Fe TM S.FE TM CRDI 2.2 200CV 4X2 AT TECNO DK","","6,6","6,6","173,0","173,0"
"Hyundai Santa Fe TM S.FE TM CRDI 2.2 200CV 4X2 AT TECNO SR","","6,6","6,6","173,0","173,0"
"Hyundai Santa Fe TM S.FE TM CRDI 2.2 200CV 4x2 KLASS DK","","6,6","6,6","173,0","173,0"
"Hyundai Santa Fe TM S.FE TM CRDI 2.2 200CV 4x2 KLASS SR","","6,6","6,6","173,0","173,0"
"Hyundai Santa Fe TM S.FE TM CRDI 2.2 200CV 4X4 AT PRESS DK","","7,3","7,3","193,0","193,0"
"Hyundai Santa Fe TM S.FE TM CRDI 2.2 200CV 4X4 AT PRESS RED SR","","7,3","7,3","193,0","193,0"
