"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"BMW X3 X3 xDrive30d (UZ95) Auto.07/2020","","6,9","7,7","181,0","202,0"
"BMW X3 X3 xDrive30d Auto.11/2019","","6,9","7,7","181,0","202,0"
"BMW X3 X3 xDrive30e (61DP) Auto. 08/2021","","2,0","2,6","44,0","59,0"
"BMW X3 X3 xDrive30e (TS11)Auto.01/2021","","1,9","2,5","43,0","58,0"
"BMW X3 X3 xDrive30e Auto.11/2019","","2,1","2,8","49,0","64,0"
"BMW X3 X3 xDrive30i (55DP) Auto. 08/2021","","7,6","8,5","173,0","194,0"
"BMW X3 X3 xDrive30i (TY55) Auto.07/2020","","7,7","8,8","176,0","199,0"
"BMW X3 X3 xDrive30i Auto.11/2019","","7,9","8,8","179,0","200,0"
"BMW X3 X3 xDrive30i Automatico (G01) (CO2 164-170) (TR91) Auto.12/2017","","8,9","10,1","204,0","231,0"
"BMW X4 M X4 M (21EC) Auto.08/2021","","10,7","10,9","243,0","248,0"
"BMW X4 M X4 M (UJ01)Auto.01/2021","","10,5","10,7","256,0","263,0"
"BMW X4 X4 M Auto.11/2019","","11,0","11,6","252,0","265,0"
"BMW X4 X4 M40d (4M51) Auto.07/2020","","6,4","7,2","168,0","189,0"
"BMW X4 X4 M40d (4M51)Auto.01/2021","","6,4","7,2","168,0","189,0"
"BMW X4 X4 M40d Auto.11/2019","","7,1","7,8","184,0","204,0"
"BMW X4 X4 M40d xDrive (81CA) Auto.08/2021","","6,5","7,3","171,0","191,0"
"BMW X4 X4 M40i (2V51) Auto.07/2020","","8,9","9,7","202,0","221,0"
"BMW X4 X4 M40i (2V51)Auto.01/2021","","9,0","9,8","202,0","221,0"
"BMW X4 X4 M40i Auto.11/2019","","9,2","10,0","209,0","228,0"
"BMW X4 X4 M40i xDrive (41DT) Auto.08/2021","","8,7","9,5","198,0","216,0"
"BMW X4 X4 xDrive20d (31CA) Auto.08/2021","","5,7","6,5","149,0","170,0"
"BMW X4 X4 xDrive20d (4M91) Auto.07/2020","","5,9","6,8","153,0","177,0"
"BMW X4 X4 xDrive20d (4M91)Auto.01/2021","","5,9","6,7","153,0","176,0"
"BMW X4 X4 xDrive20d Auto.11/2019","","6,2","7,0","161,0","183,0"
"BMW X4 X4 xDrive20i (11DT) Auto.08/2021","","7,5","8,4","170,0","190,0"
"BMW X4 X4 xDrive20i (UJ71) Auto.07/2020","","7,7","8,7","175,0","198,0"
"BMW X4 X4 xDrive20i (UJ71)Auto.01/2021","","7,7","8,6","175,0","198,0"
"BMW X4 X4 xDrive20i Auto.11/2019","","7,8","8,9","177,0","201,0"
"BMW X4 X4 xDrive30d (4M31) Auto.07/2020","","6,1","7,0","158,0","183,0"
"BMW X4 X4 xDrive30d (4M31)Auto.01/2021","","6,1","6,9","158,0","182,0"
"BMW X4 X4 xDrive30d (61CA) Auto.08/2021","","6,1","7,0","161,0","183,0"
"BMW X4 X4 xDrive30d Auto.11/2019","","6,9","7,7","180,0","202,0"
"BMW X4 X4 xDrive30i (2V11)Auto.01/2021","","7,8","8,6","175,0","199,0"
"BMW X4 X4 xDrive30i (31DT) Auto.08/2021","","7,5","8,5","171,0","193,0"
"BMW X4 X4 xDrive30i Auto.11/2019","","7,8","8,9","178,0","202,0"
"BMW X5 M X5 M (JU01)Auto.01/2021","","12,7","13,4","301,0","309,0"
"BMW X5 X5 M Auto.11/2019","","12,0","13,2","288,0","299,0"
"BMW X5 X5 M50d Auto.11/2019","","8,3","9,1","217,0","238,0"
"BMW X5 X5 M50i (JU41) Auto.07/2020","","12,1","13,1","275,0","298,0"
"BMW X5 X5 M50i (JU41)Auto.01/2021","","11,4","12,0","263,0","282,0"
"BMW X5 X5 M50i Auto.11/2019","","12,1","13,1","276,0","298,0"
"BMW X5 X5 xDrive25d (CV41)Auto.01/2021","","6,8","8,5","184,0","221,0"
"BMW X5 X5 xDrive25d Auto.11/2019","","7,1","8,2","186,0","214,0"
"BMW X5 X5 xDrive30d (JU81)Auto.01/2021","","6,6","8,0","173,0","210,0"
"BMW X5 X5 xDrive30d Auto.11/2019","","7,5","8,6","197,0","224,0"
"BMW X5 X5 xDrive40d (TH41) Auto.07/2020","","7,1","8,5","187,0","223,0"
"BMW X5 X5 xDrive40d (TH41)Auto.01/2021","","7,1","8,5","187,0","223,0"
"BMW X5 X5 xDrive40i (CR61)Auto.01/2021","","8,9","10,7","204,0","244,0"
"BMW X5 X5 xDrive40i Auto.11/2019","","10,0","11,0","226,0","262,0"
"BMW X5 X5 xDrive45e (TA61) Auto.07/2020","","1,2","1,7","27,0","40,0"
"BMW X5 X5 xDrive45e (TA61)Auto.01/2021","","1,2","1,7","27,0","40,0"
"BMW X5 X5 xDrive45e Auto.11/2019","","1,2","1,9","27,0","43,0"
"BMW X6 M X6 M (CY01)Auto.01/2021","","12,5","13,3","297,0","306,0"
"BMW X6 X6 M Auto.11/2019","","12,0","13,0","282,0","295,0"
"BMW X6 X6 M50d Auto.11/2019","","8,2","9,0","216,0","235,0"
"BMW X6 X6 M50i (CY81)Auto.01/2021","","11,3","11,9","257,0","276,0"
"BMW X6 X6 M50i Auto.11/2019","","12,0","13,0","272,0","295,0"
"BMW X6 X6 xDrive30d (GT81) Auto.07/2020","","6,6","7,7","172,0","202,0"
"BMW X6 X6 xDrive30d (GT81)Auto.01/2021","","6,6","7,7","172,0","202,0"
