"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Volkswagen Turismos PASSAT  MY 21 Passat Business 2.0 TDI 110 kW (150 CV) 6 vel.","","4,7","4,7","123,0","123,0"
"Volkswagen Turismos PASSAT  MY 21 Passat Business 2.0 TDI 90 kW (122 CV) Automático DSG 7 vel.","","4,7","4,7","123,0","123,0"
"Volkswagen Turismos PASSAT  MY 21 Passat Executive 1.5 TSI 110 kW (150 CV) 6 vel.","","6,1","6,1","135,0","135,0"
"Volkswagen Turismos PASSAT  MY 21 Passat Executive 1.5 TSI 110 kW (150 CV) Automático DSG 7 vel.","","6,3","6,3","142,0","142,0"
"Volkswagen Turismos PASSAT  MY 21 Passat Executive 2.0 TDI 110 kW (150 CV) 6 vel.","","4,7","4,7","124,0","124,0"
"Volkswagen Turismos PASSAT  MY 21 Passat Executive 2.0 TDI 110 kW (150 CV) Automático DSG 7 vel.","","4,7","4,7","124,0","124,0"
"Volkswagen Turismos PASSAT  MY 21 Passat Executive 2.0 TDI 90 kW (122 CV) Automático DSG 7 vel.","","4,8","4,8","125,0","125,0"
"Volkswagen Turismos PASSAT  MY 21 Passat R-Line 1.5 TSI 110 kW (150 CV) 6 vel.","","6,3","6,3","143,0","143,0"
"Volkswagen Turismos PASSAT  MY 21 Passat R-Line 1.5 TSI 110 kW (150 CV) Automático DSG 7 vel.","","6,4","6,4","146,0","146,0"
"Volkswagen Turismos PASSAT  MY 21 Passat R-Line 2.0 TDI 110 kW (150 CV) 6 vel.","","4,9","4,9","128,0","128,0"
"Volkswagen Turismos PASSAT  MY 21 Passat R-Line 2.0 TDI 110 kW (150 CV) Automático DSG 7 vel.","","4,9","4,9","127,0","127,0"
"Volkswagen Turismos PASSAT  MY 21 Passat R-Line 2.0 TDI 147 kW (200 CV) Automático DSG 7 vel.","","5,3","5,3","138,0","138,0"
"Volkswagen Turismos PASSAT  MY 21 Passat R-Line 2.0 TFSI 140 kW (190 CV) Automático DSG 7 vel.","","6,9","6,9","157,0","157,0"
"Volkswagen Turismos PASSAT  MY21 Passat GTE 1.4 TSI Combinado: 160 kW (218 CV) Automático DSG 6 vel.","","1,3","1,3","30,0","30,0"
"Volkswagen Turismos PASSAT  MY22 Passat 1.5 TSI 110 kW (150 CV)  6 vel.","","6,0","6,0","137,0","137,0"
"Volkswagen Turismos PASSAT  MY22 Passat 2.0 TDI 110 kW (150 CV)  6 vel.","","4,7","4,7","122,0","122,0"
