"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Volkswagen Vehículos Comerciales Multivan The Original 2.0 TDI 150CV DSG","","8,2","9,3","214,0","243,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Corto 2.0 TDI 110 CV","","7,5","7,5","197,0","197,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Corto 2.0 TDI 150CV","","7,5","7,5","197,0","197,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Corto 2.0 TDI 150CV 4MO","","7,9","7,9","208,0","208,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Corto 2.0 TDI 150CV DSG","","8,1","8,1","211,0","211,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Corto 2.0 TDI 150CV DSG 4MO","","8,9","8,9","232,0","232,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Largo 2.0 150CV DSG","","8,1","8,1","213,0","213,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Largo 2.0 150CV DSG 4MO","","8,9","8,9","234,0","234,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Largo 2.0 TDI 110CV","","7,6","7,6","199,0","199,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Largo 2.0 TDI 150CV","","7,6","7,6","199,0","199,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Furgón Largo 2.0 TDI 150CV 4MO","","8,0","8,0","209,0","209,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Corto 2.0 TDI 110CV","","7,3","7,3","192,0","192,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Corto 2.0 TDI 150CV","","7,3","7,3","191,0","191,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Corto 2.0 TDI 150CV 4MO","","7,8","7,8","204,0","204,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Corto 2.0 TDI 150CV DSG","","7,8","7,8","204,0","204,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Corto 2.0 TDI 150CV DSG 4MO","","8,3","8,3","217,0","217,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Largo 2.0 TDI 110CV","","7,4","7,4","194,0","194,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Largo 2.0 TDI 150CV","","7,4","7,4","194,0","194,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Largo 2.0 TDI 150CV 4MO","","7,9","7,9","207,0","207,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Largo 2.0 TDI 150CV DSG","","7,9","7,9","207,0","207,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Kombi Largo 2.0 TI 150CV DSG 4MO","","8,4","8,4","220,0","220,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Corto 2.0 TDI 110CV","","7,3","7,3","192,0","192,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Corto 2.0 TDI 150CV","","7,3","7,3","191,0","191,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Corto 2.0 TDI 150CV 4MO","","7,8","7,8","204,0","204,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Corto 2.0 TDI 150CV DSG","","7,8","7,8","204,0","204,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Corto 2.0 TDI 150CV DSG 4MO","","8,3","8,3","217,0","217,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Largo 2.0 TDI 110CV","","7,4","7,4","194,0","194,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Largo 2.0 TDI 150CV","","7,4","7,4","194,0","194,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Largo 2.0 TDI 150CV 4MO","","7,9","7,9","207,0","207,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Largo 2.0 TDI 150CV DSG","","7,9","7,9","207,0","207,0"
"Volkswagen Vehículos Comerciales Transporter 6.1 Mixto Largo 2.0 TI 150CV DSG 4MO","","8,4","8,4","220,0","220,0"
"Volkswagen Vehículos Comerciales Transporter Kombi Corto 2.0 TDI 102CV","","6,9","7,9","180,0","208,0"
"Volkswagen Vehículos Comerciales Transporter Kombi Corto 2.0 TDI 150CV","","7,5","8,8","196,0","231,0"
