"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Fiat TIPO Tipo 5 puertas 1.6 16v Lounge Plus 88 kW (120 CV) diesel Multijet II","","5,3","5,8","146,0","153,0"
"Fiat TIPO Tipo 5 puertas 1.6 16v Lounge Plus 88 kW (120 CV) diesel Multijet II DDCT","","5,7","5,9","146,0","153,0"
"Fiat TIPO Tipo 5 puertas 1.6 16v Mirror 88 kW (120 CV) diesel Multijet II","","5,3","5,8","146,0","153,0"
"Fiat TIPO Tipo 5 puertas 1.6 16v Mirror 88 kW (120 CV) diesel Multijet II DDCT","","5,7","5,9","146,0","153,0"
"Fiat TIPO Tipo 5 puertas 1.6 16v Pop Business 88 kW (120 CV) diesel Multijet II","","5,3","5,8","146,0","153,0"
"Fiat TIPO Tipo 5 puertas 1.6 16v S Design 88 kW (120 CV) diesel Multijet II","","5,3","5,8","146,0","153,0"
"Fiat TIPO Tipo 5 puertas 1.6 16v S Design 88 kW (120 CV) diesel Multijet II DDCT","","5,7","5,9","146,0","153,0"
"Fiat TIPO Tipo City Life 1.0 73kw (100cv) Bz","","5,5","5,7","125,0","132,0"
"Fiat TIPO Tipo City Life 1.3 Mjet Diesel 70kw (95cv)","","4,3","4,5","114,0","119,0"
"Fiat TIPO Tipo Life 1.0 73kw (100cv) Bz","","5,5","5,7","125,0","132,0"
"Fiat TIPO Tipo Life 1.3 Mjet Diesel 70kw (95cv)","","4,3","4,5","114,0","119,0"
"Fiat TIPO Tipo Life 1.6 Mjet Diesel 95kw (130cv)","","4,5","4,7","118,0","123,0"
"Fiat TIPO Tipo Sedan 1.3 16v 70 kW (95 CV) diesel Multijet II - MY20.S1","","4,4","4,6","115,0","120,0"
"Fiat TIPO Tipo Sedan 1.4 16v 70 kW (95 CV) - MY20.S1","","6,6","6,9","153,0","161,0"
"Fiat TIPO Tipo Sedan 1.6 16v 88 kW (120 CV) diesel Multijet II - MY20.S1","","5,0","5,3","128,0","137,0"
