"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Peugeot 308 308 Tech Edition BlueHDi 130 S&S EAT8","","4,5","5,4","118,0","140,0"
"Peugeot 308 308 Tech Edition BlueHDi 130 S&S EAT8","","4,6","5,4","119,0","142,0"
"Peugeot 308 308 Tech Edition PureTech 130 S&S 6 Vel. MAN","","5,8","6,8","130,0","154,0"
"Peugeot 308 308 Tech Edition PureTech 130 S&S 6 Vel. MAN","","5,4","6,7","123,0","151,0"
"Peugeot 308 308 Tech Edition PureTech 130 S&S EAT8","","5,8","6,8","131,0","153,0"
"Peugeot 308 308 Tech Edition PureTech 130 S&S EAT8","","5,8","6,9","131,0","155,0"
"Peugeot 5008 5008 Active BlueHDi 130 S&S 6 Vel. MAN.","","5,1","5,9","134,0","154,0"
"Peugeot 5008 5008 Active BlueHDi 130 S&S 6 Vel. MAN.","","4,9","5,9","129,0","154,0"
"Peugeot 5008 5008 Active BlueHDi 130 S&S 6 Vel. MAN.","","4,6","5,6","122,0","148,0"
"Peugeot 5008 5008 Active BlueHDi 130 S&S EAT8","","5,0","5,9","132,0","154,0"
"Peugeot 5008 5008 Active BlueHDi 130 S&S EAT8","","4,8","5,9","126,0","156,0"
"Peugeot 5008 5008 Active Pack BlueHDi 130 S&S 6 Vel. MAN.","","4,6","5,6","122,0","148,0"
"Peugeot 5008 5008 Active Pack BlueHDi 130 S&S EAT8","","4,9","6,0","128,0","157,0"
"Peugeot 5008 5008 Active Pack PureTech 130 S&S 6vel MAN","","5,9","7,2","133,0","163,0"
"Peugeot 5008 5008 Active Pack PureTech 130 S&S EAT8","","6,2","7,3","139,0","165,0"
"Peugeot 5008 5008 Active PureTech 130 S&S 6vel MAN","","6,4","7,3","144,0","164,0"
"Peugeot 5008 5008 Active PureTech 130 S&S 6vel MAN","","6,1","7,4","139,0","168,0"
"Peugeot 5008 5008 Active PureTech 130 S&S 6vel MAN","","5,9","7,2","133,0","163,0"
"Peugeot 5008 5008 Active PureTech 130 S&S EAT8","","6,5","7,7","146,0","175,0"
"Peugeot 5008 5008 Active PureTech 130 S&S EAT8","","6,3","7,6","142,0","172,0"
"Peugeot 5008 5008 Allure BlueHDi 130 S&S 6 Vel. MAN.","","5,1","5,9","134,0","154,0"
"Peugeot 5008 5008 Allure BlueHDi 130 S&S 6 Vel. MAN.","","4,9","5,9","129,0","154,0"
"Peugeot 5008 5008 Allure BlueHDi 130 S&S 6 Vel. MAN.","","4,6","5,6","122,0","148,0"
"Peugeot 5008 5008 Allure BlueHDi 130 S&S EAT8","","5,0","5,9","132,0","154,0"
"Peugeot 5008 5008 Allure BlueHDi 130 S&S EAT8","","4,8","5,9","126,0","156,0"
"Peugeot 5008 5008 Allure BlueHDi 130 S&S EAT8","","4,9","6,0","128,0","157,0"
"Peugeot 5008 5008 Allure Pack BlueHDi 130 S&S 6 Vel. MAN.","","4,6","5,6","122,0","148,0"
"Peugeot 5008 5008 Allure Pack BlueHDi 130 S&S EAT8","","4,9","6,0","128,0","157,0"
"Peugeot 5008 5008 Allure Pack BlueHDi 180 S&S EAT8","","5,5","6,4","145,0","168,0"
"Peugeot 5008 5008 Allure Pack PureTech 130 S&S 6vel MAN","","5,9","7,2","133,0","163,0"
"Peugeot 5008 5008 Allure Pack PureTech 130 S&S EAT8","","6,2","7,3","139,0","165,0"
"Peugeot 5008 5008 Allure Pure Tech 180 S&S EAT8","","7,2","8,0","161,0","181,0"
"Peugeot 5008 5008 Allure PureTech 130 S&S 6 Vel. MAN.","","6,4","7,3","144,0","164,0"
"Peugeot 5008 5008 Allure PureTech 130 S&S 6 Vel. MAN.","","6,1","7,4","139,0","168,0"
"Peugeot 5008 5008 Allure PureTech 130 S&S 6vel MAN","","5,9","7,2","133,0","163,0"
"Peugeot 5008 5008 Allure PureTech 130 S&S EAT8","","6,5","7,7","146,0","175,0"
"Peugeot 5008 5008 Allure PureTech 130 S&S EAT8","","6,3","7,6","142,0","172,0"
"Peugeot 5008 5008 Allure PureTech 130 S&S EAT8","","6,2","7,3","139,0","165,0"
"Peugeot 5008 5008 GT BlueHDi 130 S&S 6 Vel. MAN.","","4,6","5,6","122,0","148,0"
"Peugeot 5008 5008 GT BlueHDi 130 S&S EAT8","","4,9","6,0","128,0","157,0"
"Peugeot 5008 5008 GT BlueHDi 180 S&S EAT8","","6,0","6,7","157,0","175,0"
"Peugeot 5008 5008 GT BlueHDi 180 S&S EAT8","","6,0","6,8","157,0","178,0"
"Peugeot 5008 5008 GT BlueHDi 180 S&S EAT8","","5,5","6,4","145,0","168,0"
"Peugeot 5008 5008 GT Line BlueHDi 130 S&S 6 Vel. MAN","","5,1","5,9","134,0","154,0"
"Peugeot 5008 5008 GT Line BlueHDi 130 S&S 6 Vel. MAN","","4,9","5,9","129,0","154,0"
"Peugeot 5008 5008 GT Line BlueHDi 130 S&S EAT8","","5,0","5,9","132,0","154,0"
"Peugeot 5008 5008 GT Line BlueHDi 130 S&S EAT8","","4,8","5,9","126,0","156,0"
"Peugeot 5008 5008 GT Line Pure Tech 130 S&S EAT8","","6,5","7,7","146,0","175,0"
"Peugeot 5008 5008 GT Line Pure Tech 130 S&S EAT8","","6,3","7,6","142,0","172,0"
"Peugeot 5008 5008 GT Line Pure Tech 180 S&S EAT8","","7,2","8,0","161,0","181,0"
"Peugeot 5008 5008 GT Line Pure Tech 180 S&S EAT8","","7,2","8,0","161,0","181,0"
"Peugeot 5008 5008 GT Line PureTech 130 S&S 6 Vel. MAN","","6,4","7,3","144,0","164,0"
"Peugeot 5008 5008 GT Line PureTech 130 S&S 6 Vel. MAN","","6,1","7,4","139,0","168,0"
"Peugeot 5008 5008 GT Pack BlueHDi 180 S&S EAT8","","5,5","6,4","145,0","168,0"
"Peugeot 5008 5008 GT Pack PureTech 180 S&S EAT8","","6,5","7,8","148,0","177,0"
"Peugeot 5008 5008 GT PureTech 130 S&S 6vel MAN","","5,9","7,2","133,0","163,0"
"Peugeot 5008 5008 GT PureTech 130 S&S EAT8","","6,2","7,3","139,0","165,0"
"Peugeot 5008 5008 GT PureTech 180 S&S EAT8","","6,5","7,8","148,0","177,0"
"Peugeot 5008 5008 Roadtrip BlueHDI 130 S&S EAT8","","4,9","5,9","128,0","154,0"
"Peugeot 508 508 5P Active BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 5P Active Pack BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 5P Active Pack PureTech 130 S&S EAT8","","5,8","6,7","129,0","151,0"
"Peugeot 508 508 5P Active PureTech 130 S&S EAT8","","5,8","6,7","129,0","151,0"
"Peugeot 508 508 5P Allure BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 5P Allure HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 5P Allure Pack BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 5P Allure Pack HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 5P Allure Pack PureTech 180 S&S EAT8","","6,4","7,3","145,0","165,0"
"Peugeot 508 508 5P Allure PureTech 180 S&S EAT8","","6,4","7,3","145,0","165,0"
"Peugeot 508 508 5P Business Line BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 5P GT BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 5P GT HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 5P GT HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 5P GT Line HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 5P GT Pack HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 5P GT Pack PureTech 180 S&S EAT8","","6,4","7,3","145,0","165,0"
"Peugeot 508 508 5P GT Pack PureTech 225 S&S EAT8","","6,5","7,4","147,0","168,0"
"Peugeot 508 508 5P GT PureTech 180 S&S EAT8","","6,4","7,3","145,0","165,0"
"Peugeot 508 508 5P PSE HYBRID 360 e-EAT8","","1,8","2,0","42,0","46,0"
"Peugeot 508 508 SW Active BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 SW Active Pack BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 SW Active Pack PureTech 130 S&S EAT8","","5,8","6,7","129,0","151,0"
"Peugeot 508 508 SW Active PureTech 130 S&S EAT8","","5,8","6,7","129,0","151,0"
"Peugeot 508 508 SW Allure BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 SW Allure HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 SW Allure Pack BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 SW Allure Pack HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 SW Allure Pack PureTech 180 S&S EAT8","","6,4","7,3","145,0","165,0"
"Peugeot 508 508 SW Allure PureTech 180 S&S EAT8","","6,4","7,3","145,0","165,0"
"Peugeot 508 508 SW Business Line BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 SW GT BlueHDi 130 S&S EAT8","","4,4","5,2","115,0","138,0"
"Peugeot 508 508 SW GT HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 SW GT HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 SW GT Line HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 SW GT Pack HYBRID 225 e-EAT8","","1,2","1,7","27,0","38,0"
"Peugeot 508 508 SW GT Pack PureTech 180 S&S EAT8","","6,4","7,3","145,0","165,0"
"Peugeot 508 508 SW GT Pack PureTech 225 S&S EAT8","","6,5","7,4","147,0","168,0"
"Peugeot 508 508 SW GT PureTech 180 S&S EAT8","","6,4","7,3","145,0","165,0"
"Peugeot 508 508 SW PSE HYBRID 360 e-EAT8","","1,8","2,0","42,0","46,0"
"Peugeot 508 Nuevo 508 5P Active BlueHDi 130 S&S 6vel MAN","","4,7","5,4","124,0","141,0"
