"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"SEAT IBIZA 1.0 TSI 70KW STYLE MY19","","5,1","5,9","117,0","129,0"
"SEAT IBIZA 1.0 TSI 70KW STYLE PLUS MY19","","5,1","5,9","117,0","129,0"
"SEAT IBIZA 1.0 TSI 70KW XCELLENCE MY19","","5,1","5,9","117,0","129,0"
"SEAT IBIZA 1.0 TSI 70KW XCELLENCE PLUS MY19","","5,1","5,9","117,0","129,0"
"SEAT IBIZA 1.0 TSI 85KW FR DCT MY19","","5,8","6,4","131,0","143,0"
"SEAT IBIZA 1.0 TSI 85KW FR MY19","","5,5","6,1","123,0","137,0"
"SEAT IBIZA 1.0 TSI 85KW FR PLUS DCT MY19","","5,8","6,4","131,0","143,0"
"SEAT IBIZA 1.0 TSI 85KW FR PLUS MY19","","5,5","6,1","123,0","137,0"
"SEAT IBIZA 1.0 TSI 85KW STYLE MY19","","5,5","6,1","123,0","137,0"
"SEAT IBIZA 1.0 TSI 85KW STYLE PLUS MY19","","5,5","6,1","123,0","137,0"
"SEAT IBIZA 1.0 TSI 85KW XCELLENCE DCT MY19","","5,8","6,4","131,0","143,0"
"SEAT IBIZA 1.0 TSI 85KW XCELLENCE MY19","","5,5","6,1","123,0","137,0"
"SEAT IBIZA 1.0 TSI 85KW XCELLENCE PLUS DCT MY19","","5,8","6,4","131,0","143,0"
"SEAT IBIZA 1.0 TSI 85KW XCELLENCE PLUS MY19","","5,5","6,1","123,0","137,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop REFERENCE","","5,1","5,9","116,0","133,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop REFERENCE Business","","5,2","5,8","118,0","131,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop REFERENCE Business","","5,1","5,9","116,0","133,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop REFERENCE Business s48","","5,2","5,8","118,0","132,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop REFERENCE Plus","","5,2","5,8","118,0","131,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop REFERENCE Plus s48","","5,2","5,8","118,0","132,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop STYLE","","5,2","5,8","118,0","131,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop STYLE","","5,1","5,9","116,0","133,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop STYLE GO","","5,1","5,9","116,0","133,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop STYLE GO Navi","","5,2","5,8","118,0","131,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop STYLE GO Navi","","5,1","5,9","116,0","133,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop STYLE Plus","","5,2","5,8","118,0","131,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop STYLE Plus s48","","5,2","5,8","118,0","132,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop STYLE s48","","5,2","5,8","118,0","132,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop XCELLENCE","","5,2","5,8","118,0","131,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop XCELLENCE","","5,1","5,9","116,0","133,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop XCELLENCE GO","","5,1","5,9","116,0","133,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop XCELLENCE GO Navi","","5,2","5,8","118,0","131,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop XCELLENCE GO Navi","","5,1","5,9","116,0","133,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop XCELLENCE Plus","","5,2","5,8","118,0","131,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop XCELLENCE Plus s48","","5,2","5,8","118,0","132,0"
"SEAT IBIZA 1.0 TSI 95CV Start&Stop XCELLENCE s48","","5,2","5,8","118,0","132,0"
"SEAT IBIZA 1.5 TSI 150CV Start&Stop DSG-7 FR","","5,6","6,4","138,0","147,0"
"SEAT IBIZA 1.5 TSI 150CV Start&Stop DSG-7 FR GO2","","5,6","6,4","138,0","147,0"
"SEAT IBIZA 1.6 TDI 59KW REFERENCE MY19","","4,6","5,2","121,0","135,0"
"SEAT IBIZA 1.6 TDI 59KW REFERENCE PLUS MY19","","4,6","5,2","121,0","135,0"
"SEAT IBIZA 1.6 TDI 70KW FR DCT MY19","","5,1","5,3","132,0","138,0"
"SEAT IBIZA 1.6 TDI 70KW FR MY19","","4,9","5,1","127,0","134,0"
"SEAT IBIZA 1.6 TDI 70KW FR PLUS DCT MY19","","5,1","5,3","132,0","138,0"
"SEAT IBIZA 1.6 TDI 70KW FR PLUS MY19","","4,9","5,1","127,0","134,0"
"SEAT IBIZA 1.6 TDI 70KW REFERENCE MY19","","4,9","5,1","127,0","134,0"
"SEAT IBIZA 1.6 TDI 70KW REFERENCE PLUS MY19","","4,9","5,1","127,0","134,0"
"SEAT IBIZA 1.6 TDI 70KW STYLE MY19","","4,9","5,1","127,0","134,0"
"SEAT IBIZA 1.6 TDI 70KW STYLE PLUS MY19","","4,9","5,1","127,0","134,0"
"SEAT IBIZA 1.6 TDI 70KW XCELLENCE DCT MY19","","5,1","5,3","132,0","138,0"
"SEAT IBIZA 1.6 TDI 70KW XCELLENCE MY19","","4,9","5,1","127,0","134,0"
"SEAT IBIZA 1.6 TDI 70KW XCELLENCE PLUS DCT MY19","","5,1","5,3","132,0","138,0"
"SEAT IBIZA 1.6 TDI 70KW XCELLENCE PLUS MY19","","4,9","5,1","127,0","134,0"
"SEAT IBIZA 1.6 TDI 85KW FR MY19","","4,9","5,2","126,0","136,0"
"SEAT IBIZA 1.6 TDI 85KW FR PLUS MY19","","4,9","5,2","126,0","136,0"
"SEAT IBIZA 1.6 TDI 85KW STYLE MY19","","4,9","5,2","126,0","136,0"
"SEAT IBIZA 1.6 TDI 85KW STYLE PLUS MY19","","4,9","5,2","126,0","136,0"
"SEAT IBIZA 1.6 TDI 85KW XCELLENCE MY19","","4,9","5,2","126,0","136,0"
