"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Citroën Jumpy BlueHDi 100 S&S 6v Furgón Talla M","","6,4","7,3","168,0","192,0"
"Citroën Jumpy BlueHDi 100 S&S 6v Furgón Talla XS","","6,4","7,3","168,0","192,0"
"Citroën Jumpy BlueHDi 100 S&S 6v Furgón Talla XS","","6,4","7,3","168,0","192,0"
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M","","7,0","7,7","183,0","203,0"
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M Control","","6,0","6,7","159,0","177,0"
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M Doble Cabina","","7,0","7,7","183,0","203,0"
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M Doble Cabina Control","","6,0","6,7","159,0","177,0"
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M Driver","","7,0","7,7","183,0","203,0"
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla M Worker","","7,0","7,7","183,0","203,0"
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla XL","","7,0","7,7","183,0","203,0"
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla XS CityVan","","7,0","7,7","183,0","203,0"
"Citroën Jumpy BlueHDi 120 S&S 6v Furgón Talla XS Club","","6,0","6,7","159,0","177,0"
"Citroën Jumpy BlueHDi 150 S&S 6v Furgón Talla XL Club","","6,8","7,7","179,0","202,0"
"Citroën Jumpy Combi BlueHDI 120 S&S 6v Talla M","","6,0","7,0","166,0","168,0"
"Citroën Jumpy Combi BlueHDI 120 S&S 6v Talla XL","","6,0","7,0","168,0","170,0"
"Citroën Jumpy Combi BlueHDI 120 S&S 6v Talla XS","","6,0","7,0","166,0","168,0"
"Citroën Jumpy Combi BlueHDI 140 S&S 6v Talla M","","6,7","7,8","183,0","187,0"
"Citroën Jumpy Combi BlueHDI 140 S&S 6v Talla XL","","6,7","7,8","185,0","189,0"
"Citroën Jumpy Combi BlueHDi 150 S&S 6v Talla M","","6,7","7,8","177,0","190,0"
"Citroën Jumpy Combi BlueHDi 150 S&S 6v Talla XL","","6,7","7,8","177,0","190,0"
"Citroën Nuevo C3 BlueHDi 100 S&S 6v","","3,2","3,2","111,0","114,0"
"Citroën Nuevo C3 PureTech 110 S&S 6v","","4,6","4,6","124,0","128,0"
"Citroën Nuevo C3 PureTech 110 S&S EAT6","","4,7","4,7","133,0","137,0"
"Citroën Nuevo C3 PureTech 83 S&S","","4,2","4,2","122,0","126,0"
"Citroën Nuevo C4 BlueHDi 130 S&S EAT8","","3,8","3,8","120,0","122,0"
"Citroën Nuevo C4 Nuevo C4 BlueHDi 110 S&S 6v","","3,9","3,9","114,0","118,0"
"Citroën Nuevo C4 Nuevo C4 PureTech 100 S&S 6v","","4,6","4,6","122,0","128,0"
"Citroën Nuevo C4 Nuevo C4 PureTech 155 EAT8 SHINE","","5,8","5,8","133,0","135,0"
"Citroën Nuevo C4 PureTech 130 S&S","","4,8","4,8","120,0","124,0"
"Citroën Nuevo C4 PureTech 130 S&S EAT8","","4,8","4,8","130,0","133,0"
"Citroën Nuevo ë-C4 Eléctrico 100 KW","","0,0","0,0","0,0","0,0"
"Citroën SpaceTourer (Business Lounge) BlueHDi 140 S&S Talla M","","6,7","7,8","185,0","188,0"
