"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Opel Corsa (MY21.B) GS Line + 1.5D DT MT6 S/S 100 CV (74kW)","","4,1","4,3","107,0","113,0"
"Opel Corsa (MY21.B) GS-Line 1.2T XHL MT6 S/S 100 CV (74kW)","","5,3","5,5","118,0","123,0"
"Opel Corsa (MY21.B) GS-Line 1.5D DT MT6 S/S 100 CV (74kW)","","4,1","4,2","106,0","110,0"
"Opel Corsa (MY21.B) Ultimate 1.2T XHL MT6 S/S 100 CV (74kW)","","5,3","5,6","119,0","125,0"
"Opel Corsa (MY21.B) Ultimate 1.2T XHT AT8 S/S 130 CV (96kW)","","5,4","5,7","123,0","129,0"
"Opel Corsa (MY21.B) Ultimate 1.5D DT MT6 S/S 100 CV (74kW)","","4,1","4,3","106,0","112,0"
"Opel Corsa (MY21.C) Edition 1.2 XEL MT5 S/S 75 CV (55kW)","","5,2","5,3","117,0","120,0"
"Opel Corsa (MY21.C) Edition 1.2T XHL MT6 S/S 100 CV (74kW)","","5,2","5,4","117,0","120,0"
"Opel Corsa (MY21.C) Edition 1.5D DT MT6 S/S 100 CV (74kW)","","4,0","4,1","106,0","108,0"
"Opel Corsa (MY21.C) Elegance 1.2T XHL AT8 S/S 100 CV (74kW)","","5,4","5,6","122,0","127,0"
"Opel Corsa (MY21.C) Elegance 1.2T XHL MT6 S/S 100 CV (74kW)","","5,3","5,5","118,0","123,0"
"Opel Corsa (MY21.C) Elegance 1.5D DT MT6 S/S 100 CV (74kW)","","4,1","4,3","106,0","112,0"
"Opel Corsa (MY21.C) GS Line + 1.2T XHL MT6 S/S 100 CV (74kW)","","5,3","5,5","119,0","123,0"
"Opel Corsa (MY21.C) GS Line + 1.2T XHT AT8 S/S 130 CV (96kW)","","5,4","5,6","122,0","128,0"
"Opel Corsa (MY21.C) GS Line + 1.5D DT MT6 S/S 100 CV (74kW)","","4,1","4,3","107,0","112,0"
"Opel Corsa (MY21.C) GS-Line 1.2T XHL MT6 S/S 100 CV (74kW)","","5,3","5,4","118,0","122,0"
"Opel Corsa (MY21.C) GS-Line 1.5D DT MT6 S/S 100 CV (74kW)","","4,1","4,3","107,0","109,0"
"Opel Corsa (MY21.C) Ultimate 1.2T XHL MT6 S/S 100 CV (74kW)","","5,3","5,4","119,0","122,0"
"Opel Corsa (MY21.C) Ultimate 1.2T XHT AT8 S/S 130 CV (96kW)","","5,4","5,6","123,0","128,0"
"Opel Corsa (MY21.C) Ultimate 1.5D DT MT6 S/S 100 CV (74kW)","","4,1","4,3","107,0","112,0"
"Opel Corsa-e (MY20.0) Edition-e BEV 50kWh 136 CV (100kW)","","0,0","0,0","0,0","0,0"
"Opel Corsa-e (MY20.0) First Edition BEV 50kWh 136 CV (100kW)","","0,0","0,0","0,0","0,0"
"Opel Corsa-e (MY20.0) Selection-e BEV 50kWh 136 CV (100kW)","","0,0","0,0","0,0","0,0"
"Opel Corsa-e (MY20.5) Edition-e BEV 50kWh 136 CV (100kW)","","0,0","0,0","0,0","0,0"
"Opel Corsa-e (MY20.5) Elegance-e BEV 50kWh 136 CV (100kW)","","0,0","0,0","0,0","0,0"
"Opel Corsa-e (MY20.5) First Edition BEV 50kWh 136 CV (100kW)","","0,0","0,0","0,0","0,0"
"Opel Corsa-e (MY20.5) Selection-e BEV 50kWh 136 CV (100kW)","","0,0","0,0","0,0","0,0"
"Opel Corsa-e (MY21.A) Edition-e BEV 50kWh 136 CV (100kW)","","0,0","0,0","0,0","0,0"
