"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"SKODA OCTAVIA COMBI MY22 SCOUT 2.0 TSI 140kW (190 CV) DSG 4x4","","7,3","7,4","165,0","169,0"
"SKODA OCTAVIA COMBI MY22 SPORT 1,4 TSI iV P-HEV 150 kW (200 CV) DSG 6 vel.","","1,1","1,1","24,0","26,0"
"SKODA OCTAVIA COMBI MY22 SPORT 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel.","","1,1","1,1","24,0","26,0"
"SKODA OCTAVIA COMBI MY22 SPORT 1.5 TSI 110 kW (150 CV) DSG m-HEV","","5,6","5,9","126,0","133,0"
"SKODA OCTAVIA COMBI MY22 SPORT 2.0 TDI 110 kW (150 CV) DSG","","4,5","4,8","118,0","126,0"
"SKODA OCTAVIA COMBI MY22 STYLE 1,4 TSI iV P-HEV 150 kW (200 CV) DSG 6 vel.","","1,1","1,2","24,0","26,0"
"SKODA OCTAVIA COMBI MY22 STYLE 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel.","","1,1","1,2","24,0","26,0"
"SKODA OCTAVIA COMBI MY22 STYLE 1.5 TSI 110 kW (150 CV) DSG m-HEV","","5,6","5,9","127,0","133,0"
"SKODA OCTAVIA COMBI MY22 STYLE 1.5 TSI 110 kW (150 CV) Manual","","5,7","6,0","130,0","136,0"
"SKODA OCTAVIA COMBI MY22 STYLE 2.0 TDI 110 kW (150 CV) DSG","","4,5","4,8","118,0","126,0"
"SKODA OCTAVIA COMBI MY22 STYLE 2.0 TDI 110 kW (150 CV) Manual","","4,4","4,6","116,0","122,0"
"SKODA OCTAVIA LIMO MY22 ACTIVE 1.0 TSI 81 kW (110 CV) Manual 6 vel.","","5,1","5,3","116,0","120,0"
"SKODA OCTAVIA LIMO MY22 ACTIVE 2.0 TDI 85 kW (115 CV) Manual","","4,1","4,2","108,0","111,0"
"SKODA OCTAVIA LIMO MY22 AMBITION 1,4 TSI iV P-HEV 150 kW (200 CV) DSG 6 vel.","","1,0","1,0","22,0","23,0"
