"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Nissan NV250 Furgón 3pl 1.5dCi 59 kW (80 CV) L1H1 ÓPTIMA","","5,6","5,6","147,0","147,0"
"Nissan NV250 Furgón 3pl 1.5dCi 70 kW (95 CV) L1H1 COMFORT","","5,6","5,6","148,0","148,0"
"Nissan NV250 Furgón 3pl 1.5dCi 70 kW (95 CV) L1H1 ÓPTIMA","","5,6","5,6","148,0","148,0"
"Nissan NV250 Furgón 3pl 1.5dCi 70 kW (95 CV) L2H1 COMFORT","","5,9","5,9","154,0","154,0"
"Nissan NV250 Furgón 3pl 1.5dCi 70 kW (95 CV) L2H1 ÓPTIMA","","5,9","5,9","154,0","154,0"
"Nissan NV250 Furgón 3pl 1.5dCi 85 kW (115 CV) L1H1 COMFORT","","5,6","5,6","147,0","147,0"
"Nissan NV250 Furgón 3pl 1.5dCi 85 kW (115 CV) L1H1 ÓPTIMA","","5,6","5,6","147,0","147,0"
"Nissan NV250 Furgón 3pl 1.5dCi 85 kW (115 CV) L2H1 COMFORT","","5,8","5,8","153,0","153,0"
"Nissan NV250 Furgón 3pl 1.5dCi 85 kW (115 CV) L2H1 ÓPTIMA","","5,8","5,8","153,0","153,0"
"Nissan NV250 Furgón 4pl 1.5dCi 70 kW (95 CV) L2H1","","5,4","6,3","142,0","166,0"
"Nissan NV250 Furgón 4pl 1.5dCi 85 kW (115 CV) L2H1","","5,4","6,3","141,0","165,0"
"Nissan NV300 Combi 6 2.0dCi 107kW (145CV) A/T S&S L1H1 1T PREMIUM","","7,2","7,3","190,0","191,0"
"Nissan NV300 Combi 6 2.0dCi 107kW (145CV) A/T S&S L2H1 1,2T PREMIUM","","7,3","7,3","192,0","193,0"
"Nissan NV300 Combi 6 2.0dCi 107kW (145CV) S&S L1H1 1T COMFORT","","7,1","7,2","187,0","188,0"
"Nissan NV300 Combi 6 2.0dCi 107kW (145CV) S&S L1H1 1T PREMIUM","","7,2","7,2","188,0","189,0"
"Nissan NV300 Combi 6 2.0dCi 107kW (145CV) S&S L2H1 1,2T COMFORT","","7,2","7,2","189,0","190,0"
"Nissan NV300 Combi 6 2.0dCi 107kW (145CV) S&S L2H1 1,2T PREMIUM","","7,2","7,3","190,0","191,0"
"Nissan NV300 Combi 6 2.0dCi 125kW (170CV) A/T S&S L1H1 1T PREMIUM","","7,2","7,3","190,0","191,0"
"Nissan NV300 Combi 6 2.0dCi 125kW (170CV) A/T S&S L2H1 1,2T PREMIUM","","7,3","7,3","192,0","193,0"
"Nissan NV300 Combi 6 2.0dCi 88kW (120CV) L1H1 1T COMFORT","","7,2","7,2","188,0","190,0"
"Nissan NV300 Combi 6 2.0dCi 88kW (120CV) L1H1 1T OPTIMA","","7,1","7,2","187,0","189,0"
"Nissan NV300 Combi 6 2.0dCi 88kW (120CV) L1H1 1T PREMIUM","","7,2","7,2","189,0","190,0"
"Nissan NV300 Combi 6 2.0dCi 88kW (120CV) L2H1 1,2T COMFORT","","7,2","7,3","190,0","191,0"
"Nissan NV300 Combi 6 2.0dCi 88kW (120CV) L2H1 1,2T OPTIMA","","7,2","7,2","190,0","191,0"
"Nissan NV300 Combi 6 2.0dCi 88kW (120CV) L2H1 1,2T PREMIUM","","7,3","7,3","191,0","192,0"
"Nissan NV300 Combi 8 2.0dCi 107kW (145CV) A/T S&S L1H1 1T PREMIUM","","7,3","7,3","192,0","192,0"
"Nissan NV300 Combi 8 2.0dCi 107kW (145CV) A/T S&S L2H1 1,2T PREMIUM","","7,4","7,4","193,0","194,0"
"Nissan NV300 Combi 8 2.0dCi 107kW (145CV) S&S L1H1 1T PREMIUM","","7,2","7,2","189,0","190,0"
"Nissan NV300 Combi 8 2.0dCi 107kW (145CV) S&S L2H1 1,2T PREMIUM","","7,3","7,3","191,0","192,0"
"Nissan NV300 Combi 8 2.0dCi 125kW (170CV) A/T S&S L1H1 1T PREMIUM","","7,3","7,3","192,0","192,0"
"Nissan NV300 Combi 8 2.0dCi 125kW (170CV) A/T S&S L2H1 1,2T PREMIUM","","7,4","7,4","193,0","194,0"
"Nissan NV300 Combi 8 2.0dCi 88kW (120CV) L1H1 1T PREMIUM","","7,3","7,3","191,0","192,0"
