"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Audi Q5 PI 35 TDI quattro 120 kW (163 CV) S tronic 7 vel. Advanced MY21","","5,6","5,7","147,0","149,0"
"Audi Q5 PI 35 TDI quattro 120 kW (163 CV) S tronic 7 vel. S line/Black Line MY21","","5,8","5,9","153,0","154,0"
"Audi Q5 PI 40 TDI quattro-ultra 150 kW (205 CV) S tronic 7 vel. Advanced MY21","","6,3","6,7","166,0","175,0"
"Audi Q5 PI 40 TDI quattro-ultra 150 kW (205 CV) S tronic 7 vel. Genuine/S line/Black Line MY21","","6,5","6,8","171,0","179,0"
"Audi Q5 PI 40 TDI quattro-ultra 150 kW (205 CV) S tronic 7 vel. MY21","","6,3","6,5","166,0","171,0"
"Audi Q5 PI 45 TFSI quattro 169 kW (230 CV) S tronic 7 vel. S line/Black Line MY21","","8,7","8,9","198,0","202,0"
"Audi Q7 45 TDI quattro 170 kW (231 CV) tiptronic 8 vel. MY21","","8,2","8,5","216,0","224,0"
"Audi Q7 45 TDI quattro 170 kW (231 CV) tiptronic 8 vel. MY21","","8,0","8,2","209,0","215,0"
"Audi Q7 45 TDI quattro 170 kW (231 CV) tiptronic 8 vel. S line/Black Line MY21","","8,2","8,8","214,0","229,0"
"Audi Q7 45 TDI quattro 170 kW (231 CV) tiptronic 8 vel. S line/Black Line MY21","","7,9","8,3","206,0","218,0"
"Audi Q7 45 TDI quattro 170 kW (231 CV) tiptronic MY 20","","8,1","9,0","213,0","236,0"
"Audi Q7 45 TDI quattro 170 kW (231 CV) tiptronic MY19","","8,2","8,8","214,0","232,0"
"Audi Q7 50 TDI quattro 210 kW (286 CV) tiptronic 8 vel. MY21","","8,4","8,7","218,0","228,0"
"Audi Q7 50 TDI quattro 210 kW (286 CV) tiptronic 8 vel. S Line/Black Line MY21","","8,2","8,9","214,0","232,0"
"Audi Q7 50 TDI quattro 210 kW (286 CV) tiptronic 8 vel. S Line/Black Line MY21","","8,0","8,4","210,0","219,0"
"Audi Q7 50 TDI quattro 210 kW (286 CV) tiptronic MY 20","","8,2","9,0","215,0","236,0"
"Audi Q7 50 TDI quattro 210 kW (286 CV) tiptronic MY19","","8,3","8,8","216,0","231,0"
"Audi Q7 55 TFSI e quattro 280 kW (381 CV) tiptronic 8 vel. MY21","","2,6","3,2","58,0","72,0"
"Audi Q7 55 TFSI e quattro 280 kW (381 CV) tiptronic 8 vel. S line/Black line MY21","","2,7","2,7","61,0","62,0"
